K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
0.3,16,0.05293782657685901,0.023465648280571995,0.0292,0.16836674255921208,0,0.9708,0.0184,0.8268,9.046008835852236e-05
0.3,17,0.07251837176374255,0.056647284087424164,0.05,0.22158519806160337,0,0.9508,0.034,0.5344,0.0003706677302194421
0.3,18,0.0754164963887129,0.030924345659201567,0.0444,0.2173215129709896,0,0.958,0.0284,0.6772,0.00025922110979930015
0.3,19,0.06788581512825749,0.02987663868111498,0.0328,0.18472725841087992,0,0.9684,0.024,0.7072,0.00014009715861619252
0.35,0,0.05080539862627087,0.03371848820245583,0.0384,0.1942303786743979,0,0.962,0.0256,0.5756,0.00018894731975520885
0.35,1,0.06909069413454957,0.03322590199763859,0.0332,0.1857357262348846,0,0.968,0.02,0.7356,0.00011887087073386949
0.35,2,0.06846744170192436,0.035487636807339386,0.0312,0.1738578729882544,0,0.9688,0.0176,0.7556,9.546884063967591e-05
0.35,3,0.07416985697993113,0.04199874645238923,0.0232,0.15317232125942337,0,0.9772,0.0188,0.9128,6.565578727696827e-05
0.35,4,0.06758712566752549,0.036073309944341506,0.0452,0.21344076461632158,0,0.956,0.0288,0.6152,0.00027047214631319654
0.35,5,0.07562507779192065,0.0363156147705228,0.02,0.13999999999999999,0,0.98,0.0128,0.8716,3.584000280000003e-05
0.35,6,0.06339301565875974,0.02793121075770947,0.0316,0.18385167935050253,0,0.97,0.0224,0.7748,0.00012354833403908818
0.35,7,0.11692419883738858,0.049152549848811934,0.0584,0.23449827291474876,0,0.9416,0.032,0.5236,0.0004382303861177817
0.35,8,0.06767613966802019,0.03742279247793568,0.0368,0.19247275131820607,0,0.964,0.0296,0.6244,0.00020509897073369963
0.35,9,0.0654714774999019,0.029161823468508506,0.0252,0.1567321281677755,0,0.9748,0.0208,0.824,8.215271625007082e-05
0.35,10,0.0739668576019308,0.03937804034771497,0.02,0.13999999999999999,0,0.98,0.0152,0.8328,4.256000280000003e-05
0.35,11,0.09266794731993129,0.03715725113959768,0.0504,0.22058975497515745,0,0.95,0.0344,0.4176,0.0003794143895867589
0.35,12,0.06522375805614422,0.03349826765151106,0.028,0.16497272501841023,0,0.972,0.0208,0.7568,9.60801196699585e-05
0.35,13,0.06747868882398127,0.027275400636741186,0.04,0.19595917942265428,0,0.96,0.028,0.6412,0.00021947428879174016
0.35,14,0.07318613617407574,0.04024680025850758,0.034,0.18559094805512472,0,0.9668,0.0272,0.654,0.00016759605589331932
0.35,15,0.06442836656602251,0.0350501307524123,0.0392,0.1961207791132801,0,0.9612,0.0304,0.5344,0.00023132838898918206
0.35,16,0.05658851044548441,0.02476240787600971,0.0284,0.1685035311202706,0,0.972,0.0192,0.7428,9.058750304835642e-05
0.35,17,0.08180882639473448,0.06460016964353878,0.0392,0.1961207791132801,0,0.9612,0.0276,0.6692,0.00021002182754631532
0.35,18,0.09687731476453165,0.037244319567445575,0.0524,0.24505966620396757,0,0.952,0.03,0.5636,0.0003528859310965776
0.35,19,0.07489071927290995,0.032150134807214854,0.0332,0.19823662628283403,0,0.9704,0.018,0.6296,0.00010562048035129796
0.4,0,0.05688383043793526,0.03615820167082378,0.0384,0.19215993338883108,0,0.9616,0.0256,0.656,0.00018890090829749788
0.4,1,0.07231594754630626,0.03302703417045297,0.0328,0.17811277326458091,0,0.9672,0.0224,0.7764,0.00013086302261505205
0.4,2,0.07155587570783874,0.03607989165731931,0.0232,0.15053823434596275,0,0.9768,0.0184,0.8264,6.426176497009161e-05
0.4,3,0.08277619997782786,0.0470946240791233,0.0352,0.18428499667634368,0,0.9648,0.0272,0.6568,0.00017644183370463042
0.4,4,0.09321525495319517,0.051061792636130844,0.0524,0.22462021280374572,0,0.948,0.0348,0.532,0.00040647274876990964
0.4,5,0.08436752921264229,0.03949560481438683,0.0364,0.18940707484146416,0,0.964,0.022,0.6592,0.00015001041009309442
0.4,6,0.0651867680774524,0.029077241591845722,0.0312,0.1738578729882544,0,0.9688,0.024,0.7176,0.00013018478071797056
0.4,7,0.16110101519047415,0.05519497446438026,0.1048,0.3240632037118686,0,0.9008,0.0576,0.3552,0.001851671253100389
0.4,8,0.07743544547600245,0.04449214478976823,0.032,0.176,0,0.968,0.0232,0.8048,0.0001306624056320001
0.4,9,0.06848964575101373,0.03348947297707641,0.0328,0.19111295089553718,0,0.9696,0.0256,0.7192,0.0001487317487147765
0.4,10,0.0755290050248876,0.035881549465133764,0.0228,0.14926540121541898,0,0.9772,0.0176,0.806,5.989722360297459e-05
0.4,11,0.10039084487281748,0.05903324640432495,0.0572,0.2583179436276156,0,0.9488,0.0344,0.6528,0.00045497024097832574
0.4,12,0.0683350940994267,0.03523580163694707,0.0268,0.16149848296501115,0,0.9732,0.0224,0.8072,9.6950773621715e-05
0.4,13,0.07452105747878801,0.025735786837329286,0.0324,0.1770599898339543,0,0.9676,0.0288,0.7684,0.00016521822345060303
0.4,14,0.07891565177655391,0.039444610036920534,0.0324,0.18371238390484185,0,0.9688,0.0212,0.6396,0.00012151472494184499
0.4,15,0.07218460951415012,0.03857425105760513,0.0448,0.21445969318265845,0,0.9568,0.0312,0.5664,0.0002890573621239732
0.4,16,0.05997254432214704,0.025816389117475413,0.0232,0.15053823434596275,0,0.9768,0.0208,0.9092,7.264373385847482e-05
0.4,17,0.09209281627666026,0.07292488365283493,0.0648,0.2494012028840278,0,0.936,0.0432,0.5064,0.0006895444616954366
0.4,18,0.12427530016352098,0.051375088111857516,0.0684,0.26480453168327767,0,0.9348,0.0432,0.4724,0.0007458590533856431
0.4,19,0.08174205496853226,0.0365478164788104,0.0328,0.17811277326458091,0,0.9672,0.022,0.6956,0.00012852618302982075
0.45,0,0.0649734988556847,0.03665447085013805,0.0472,0.21394429181448146,0,0.9532,0.0344,0.5748,0.0003444332042905625
0.45,1,0.0768286946871079,0.04035707792181441,0.028,0.16497272501841023,0,0.972,0.0168,0.7632,7.760317446789653e-05
0.45,2,0.07698207096809154,0.036172395914827356,0.0392,0.1961207791132801,0,0.9612,0.0236,0.7524,0.0001795838826279343
0.45,3,0.09787739860998663,0.05072960849987174,0.0516,0.22833624329045968,0,0.95,0.0368,0.498,0.00042013869907125837
