K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
1.4,0.9514048176932652,0.004464823460105527,0.0002122107597765356,0.0005189363839385721,2.60518,0.9995210092839469,0.07638691275086668,0.186976135714502,0.9591200000000001,0.1015099144755925,0.0021599999999999996,0.005500468879535347,0.89482,0.2615379123166417,0.00030485676293993323,0.0008112367072623454
1.45,0.9554926900675851,0.003987513632404173,0.00017882163534498554,0.00043982516648182244,2.12178,0.839142604780555,0.06060353862063774,0.15010363825548514,0.9732200000000001,0.0701490113221397,0.00122,0.0037014364210327007,0.9253199999999999,0.19276095258663062,0.00012441224285451223,0.000456293060963304
1.5,0.9590431403932934,0.0035894716660027567,6.044903509345565e-05,0.00027033454249353843,1.88992,0.888283099491432,0.021872210679307204,0.09781549979425552,0.99068,0.041680307100596066,0.0006000000000000001,0.002683281572999748,0.9756199999999999,0.10903067458288979,4.892376492445443e-05,0.00021879372817259997
1.55,0.9621423562753437,0.0032705956827731096,4.2044998258512696e-05,0.0001880309483013146,1.69612,0.7256199045607395,0.014385603915025604,0.06433437650276873,0.9964000000000001,0.01609968943799849,0.00016,0.0007155417527999328,0.98978,0.045705229460095725,3.3144441777853796e-06,1.4822644978313015e-05
1.6,0.9648908487166148,0.002987611285085624,4.031199447747678e-13,1.7999631948318078e-12,1.65,0.670820393249937,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.65,0.9673146571933259,0.002748852129660576,5.09476529216399e-16,1.5525707847869503e-15,1.65,0.670820393249937,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.7,0.9694766503552854,0.0025414878488754073,1.6775096773839494e-16,8.777013923611525e-17,1.65,0.670820393249937,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.75,0.9714174923217771,0.0023593312101536485,1.6446336947395875e-16,8.484536645995581e-17,1.6,0.6805570473787206,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.8,0.9731688176504694,0.002197968824373013,1.7846527450897977e-16,8.799397842328776e-17,1.55,0.6048053188292994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.85,0.9747561675426158,0.002054038737719051,1.5790401195327446e-16,7.506772289673889e-17,1.45,0.5104177855340404,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.9,0.9762005600534401,0.0019249004344027432,1.5279361482220732e-16,5.691865707480589e-17,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.95,0.9775195203963793,0.0018084375365670577,1.6038929714571116e-16,6.005175382264773e-17,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,0.9787278122670587,0.0017029273426337314,1.5172177298241894e-16,5.949545743848335e-17,1.35,0.4893604849295929,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
