K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,n_switches,Kij_mean_final,Kij_std_final,Kij_min_final,Kij_max_final,Kij_density_weak,Kij_density_strong,Kij_mean_time,Kij_std_time
0.55,6,0.3013090375606036,0.1584086197067362,0.764,1.2779295755244104,0,0.6256,0.1932,483,0.9120438098907472,0.9004905223846436,0.0,2.5,0.1553508771929824,0.3275563909774436,0.593072636127472,0.7263059961795807
0.55,7,0.7900418339625577,0.0420209980174797,9.3444,2.586926485233007,10,0.162,0.6972,1743,1.7831802368164062,1.0614908933639526,0.0,2.5,0.0747994987468671,0.6905263157894737,1.6028977990150453,1.0301033985614776
0.55,8,0.4992543415665725,0.1663872931759078,2.2444,2.064138716268846,0,0.2616,0.4124,1031,1.280843734741211,1.068431735038757,0.0,2.5,0.1183834586466165,0.4979323308270676,0.8268876177072525,0.8382780802249908
0.55,9,0.5961696664834453,0.1086765738665521,3.8832,2.37148851146279,4,0.1556,0.5272,1318,1.370768666267395,1.1033905744552612,0.0,2.5,0.1197368421052631,0.5137844611528822,1.0500180053710937,0.9715324401855469
0.55,10,0.7307647301290173,0.0633623379087123,6.8744,2.9620642531856056,8,0.1328,0.672,1680,1.6539744138717651,1.0955742597579956,0.0,2.5,0.1167293233082706,0.6407017543859649,1.3803904235363007,1.0326371705532074
0.55,11,0.6621628704744159,0.1730050504665568,6.1092,3.5832492740528115,8,0.1244,0.594,1485,1.671332597732544,1.0654311180114746,0.0,2.5,0.0842230576441102,0.6461904761904762,1.1996159946918488,0.9486203682422638
0.55,12,0.7278979232085594,0.0712425899804368,6.9256,2.9032507022301743,9,0.1248,0.6716,1679,1.6451300382614136,1.084305763244629,0.0,2.5,0.0580200501253132,0.6224812030075187,1.343074780702591,1.010838931798935
0.55,13,0.6603752521670815,0.0855828441563708,4.4392,2.482398710924577,2,0.1396,0.62,1550,1.4953993558883667,1.1217211484909058,0.0,2.5,0.1347243107769423,0.5741604010025063,1.1693944907188416,1.0006905162334443
0.55,14,0.7121865361083394,0.0974044290181287,6.6092,3.1419222396488427,9,0.1344,0.6196,1549,1.720379114151001,1.0496116876602173,0.0,2.5,0.0731578947368421,0.6772556390977443,1.305633749961853,0.9861627054214478
0.55,15,0.6452379557242021,0.0889966132761864,4.7316,2.710933684175989,3,0.1496,0.5772,1443,1.4674465656280518,1.097789645195007,0.0,2.5,0.0933834586466165,0.5516541353383458,1.132220233678818,0.9874933052062989
0.55,16,0.7266192314921154,0.0651301209408599,6.8416,2.773681567880495,8,0.1268,0.6668,1667,1.657170057296753,1.0869938135147097,0.0,2.5,0.1121303258145363,0.6441478696741855,1.3681353962421416,1.0150390326976777
0.55,17,0.7229350388183173,0.0566888182341205,6.6676,2.5191090170931467,8,0.1468,0.6816,1704,1.5834089517593384,1.087529182434082,0.0,2.5,0.0800501253132832,0.5938847117794486,1.34134575009346,1.048341772556305
0.55,18,0.6999573926079787,0.0576926740559199,5.7768,2.36181746966187,6,0.1536,0.6644,1661,1.5302780866622925,1.1211414337158203,0.0,2.5,0.112531328320802,0.5815037593984962,1.2868885600566864,1.0437941455841064
0.55,19,0.5764615821380783,0.1468931063634114,3.7552,3.0511756684923927,1,0.1736,0.4708,1177,1.497958421707153,1.0959104299545288,0.0,2.5,0.1396240601503759,0.5829323308270676,0.994600306749344,0.9026558256149292
0.6,0,0.4657877105717325,0.1752186208259017,2.216,1.899616803463267,0,0.2528,0.4032,1008,1.2683323621749878,1.047130823135376,0.0,2.5,0.1116666666666666,0.4833709273182957,0.826954356431961,0.8497641718387604
0.6,1,0.8239588132315974,0.0380798782828991,11.1236,2.755707357467407,12,0.148,0.6916,1729,1.9084901809692385,1.0011976957321167,0.0,2.5,0.0790350877192982,0.7465664160401002,1.7257317757606507,1.0018343102931977
0.6,2,0.5135824806067674,0.1397609152288686,2.6844,2.3839456034062523,1,0.2136,0.4664,1166,1.352763295173645,1.0330592393875122,0.0,2.5,0.102531328320802,0.5402005012531328,0.8568139040470123,0.8626143598556518
0.6,3,0.7286470617901832,0.085872729014761,6.8036,3.13155345475692,8,0.1312,0.6632,1658,1.705718994140625,1.0768250226974487,0.0,2.5,0.0721177944862155,0.6569548872180451,1.354010195732117,1.0001701617240906
0.6,4,0.6722276339355687,0.1074097688666874,5.2992,2.897736937680852,7,0.138,0.6132,1533,1.5853286981582642,1.105318307876587,0.0,2.5,0.1130701754385964,0.6148120300751879,1.2051629412174223,0.9855815589427948
0.6,5,0.55969080655006,0.1922379085662505,3.7976,3.1869474799563293,0,0.2148,0.4504,1126,1.599908709526062,1.0593693256378174,0.0,2.5,0.0775563909774436,0.6318421052631579,0.975591186285019,0.8734409189224244
