topology,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
all_to_all,0.6,1,0.6123076655622977,0.01202149797404486,5.3485,1.393932476843839,5,0.3115,0.3425,0.0995,0.3287049607398643
all_to_all,0.6,2,0.311539635526813,0.09425392883332895,1.314,1.496129673524324,0,0.424,0.309,0.0995,0.266287144674324
all_to_all,0.6,3,0.3757144876262843,0.09489126274752717,2.6715,1.9203092849851036,1,0.21,0.468,0.0995,0.7099767503617369
all_to_all,0.6,4,0.3760063386640461,0.07701140103490484,2.106,1.8721014929752073,0,0.2395,0.3815,0.0995,0.5431542116567498
all_to_all,0.6,5,0.4125845772303775,0.09098130202713196,3.2385,1.862422548725181,4,0.1935,0.425,0.0995,0.6383686103594587
all_to_all,0.6,6,0.370198198244535,0.10742506767553649,1.899,1.7927071707336923,0,0.2885,0.358,0.0995,0.4566329936832851
all_to_all,0.6,7,0.485467067842529,0.03186852535965163,4.404,1.3452821265444657,5,0.308,0.4315,0.0995,0.40169855335285953
all_to_all,0.6,8,0.3871725667040404,0.11067710140377869,1.931,2.06233823608059,0,0.3715,0.357,0.0995,0.462736111847644
all_to_all,0.6,9,0.4061718902804715,0.09392333235745799,2.5405,2.1038915727765057,1,0.2145,0.423,0.0995,0.6990526909185516
all_to_all,0.6,10,0.46913231316939913,0.036079147119341994,4.0555,1.7393733785475733,3,0.228,0.5075,0.0995,0.6814690973239499
all_to_all,0.6,11,0.5320889882712245,0.02465362824427835,4.7235,1.3849360093520566,4,0.273,0.4655,0.0995,0.46868796788775746
all_to_all,0.6,12,0.4099668203888437,0.08073549160798527,2.7985,1.771975662925425,3,0.211,0.4655,0.0995,0.6508103368895075
all_to_all,0.6,13,0.4219299786858996,0.12646803648026106,2.89,2.2411827234743713,1,0.1975,0.468,0.0995,0.8417209972538188
all_to_all,0.6,14,0.43081793797442175,0.05568770422548549,3.276,1.5635932975041815,3,0.2495,0.481,0.0995,0.56444232743616
all_to_all,0.6,15,0.3450033468619853,0.10463430562439564,1.735,1.8225737296471711,0,0.338,0.3355,0.0995,0.40479544913491017
all_to_all,0.6,16,0.4193035217658443,0.09206176199505949,2.9635,1.9437509485528233,4,0.168,0.446,0.0995,0.721271553598594
all_to_all,0.6,17,0.4805566303012703,0.028474869206281866,4.311,1.6535655414890575,4,0.2155,0.545,0.0995,0.7069860824747225
all_to_all,0.6,18,0.39171539491369384,0.07629889531807496,2.228,1.7888588541301969,1,0.232,0.427,0.0995,0.5866312185618838
all_to_all,0.6,19,0.3518482324231671,0.14195827926601812,2.247,2.0300224136693665,0,0.2705,0.3515,0.166,0.5205368262771901
all_to_all,0.65,0,0.46598799366813787,0.09863348272029461,4.546,1.7854646454074636,5,0.22,0.406,0.0995,0.5654209453002982
all_to_all,0.65,1,0.7414466914874711,0.0030727805545362444,2.8405,0.9649143744395147,3,0.4245,0.0765,0.0995,0.042481079575788686
all_to_all,0.65,2,0.38523638607674954,0.10569876964382022,3.0745,1.9884541106095457,1,0.1855,0.398,0.0995,0.644599159110003
all_to_all,0.65,3,0.6037734502539808,0.008882491350506073,5.6295,1.4202921354425646,6,0.267,0.407,0.0995,0.4237171740997898
all_to_all,0.65,4,0.5322384990898396,0.01813876775796617,5.847,1.3170387238042776,6,0.306,0.462,0.0995,0.42227949284994276
all_to_all,0.65,5,0.6197365438709113,0.007878943863799216,4.63,1.3546586285850766,5,0.2775,0.225,0.0995,0.22021669428810234
all_to_all,0.65,6,0.4169661946558723,0.13023341990035195,3.573,2.167180426268196,5,0.2115,0.375,0.0995,0.640808164000999
