topology,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
scale_free,0.8,0.6108509034281647,0.11589544965489484,0.017696830984892407,0.02997879274924999,3.9853,1.2065626077066158,1.190132125698616,0.33437415755737426,0.36145,0.16657666956121214,0.199325,0.11453628188666268,0.14147500000000002,0.17886266968057687,0.17943320094856763,0.12316204015698329
scale_free,0.85,0.702274154921801,0.09313274291309334,0.013278151467147165,0.047444654401402275,3.4441250000000005,1.2149367849593526,0.6764629413559529,0.5414970004991062,0.6144499999999999,0.2576410650906657,0.050824999999999995,0.05555515869741295,0.301775,0.36775991435345856,0.03739975692043156,0.06381770295241311
scale_free,0.9,0.7600378712337622,0.07841402611861809,0.011909178300919109,0.05109037959078528,3.0288,0.891293359467902,0.23235050631125173,0.45630108044776163,0.8783749999999999,0.21725814593171003,0.009225,0.025442647061060378,0.77145,0.36874359584090977,0.00875703096215014,0.03526426618169959
scale_free,0.95,0.8020130675273827,0.052214473114397565,0.0012667310658958774,0.00532212047630104,2.3381,0.8071875572824317,0.05309703862217482,0.11047709688606945,0.98345,0.04427037146301898,0.0009249999999999999,0.003333541660156657,0.946375,0.17376821184373287,3.092365106588994e-05,0.00012306841190880315
scale_free,1.0,0.8339611750654218,0.02838566361960683,9.082252995732102e-06,2.144266595591108e-05,2.15,0.6708203932499369,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scale_free,1.05,0.8553581560339228,0.021951651761794373,1.6747524282071015e-06,2.1436813234642033e-06,2.0,0.8583950752789521,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scale_free,1.1,0.872083453428367,0.01810244802881477,5.130172313254226e-07,6.484679765020708e-07,2.15,0.8750939799154205,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scale_free,1.15,0.8856615909614476,0.015421296400979194,1.8392766247087803e-07,2.7755185654738086e-07,2.1,0.8522416262267903,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scale_free,1.2,0.8969436517282711,0.013413073715066772,7.624595147439904e-08,1.3254445134726632e-07,2.15,0.9333020044867295,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
small_world,0.4,0.08556602131288962,0.01639061860384375,0.039031131873168944,0.008467549711724337,0.0385,0.011851049254013446,0.19155790603030637,0.029733795007742213,0.9618249999999999,0.011545419460821495,0.026625,0.007155923199846771,0.691125,0.1146433686424305,0.00022358824375731892,0.0001554297882372197
