control_type,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
original,0.5,13,0.20221657097141213,0.09218634285224382,0.274,0.534718617592468,0,0.7665,0.133,0.2915,0.01660595415349969
original,0.5,14,0.2041194877980206,0.08207459535093752,0.233,0.4855007723989736,0,0.795,0.118,0.182,0.011744263783858828
original,0.5,15,0.1980682509498962,0.06909379167805649,0.1655,0.39001249979968583,0,0.841,0.0835,0.2445,0.005178001015602517
original,0.5,16,0.17995690135653403,0.07623575124414644,0.134,0.36884142934328834,0,0.876,0.082,0.2845,0.003750379699298893
original,0.5,17,0.30993390801480236,0.05321038155575312,0.6525,0.784055961012988,0,0.5185,0.266,0.0995,0.10042110380810546
original,0.5,18,0.20657766605195274,0.05568260270475748,0.147,0.3967253457998367,0,0.8675,0.092,0.2385,0.004836082017866116
original,0.5,19,0.1250824966493072,0.0556779114176398,0.0395,0.19984931823751614,0,0.9615,0.031,0.6095,0.00023852016901067412
original,0.55,0,0.2072480123651235,0.08649503870000888,0.302,0.5601749726647915,0,0.7465,0.146,0.137,0.02073263605530095
original,0.55,1,0.42356650702194404,0.05873266487360812,2.4105,1.50731209442504,2,0.244,0.4225,0.0995,0.48145055721983
original,0.55,2,0.1360732354272721,0.06241652172136912,0.1595,0.44951056717278626,0,0.8675,0.0765,0.3785,0.0045563515460653025
original,0.55,3,0.32968090707646397,0.12997966162269844,1.5085,1.787156330598977,0,0.438,0.31,0.157,0.3113583769213357
original,0.55,4,0.349895362635311,0.09569831461550948,1.06,1.47220922426128,0,0.511,0.254,0.104,0.1828572196285069
original,0.55,5,0.29647753402730415,0.040940151582144924,0.5615,0.726785903825879,0,0.562,0.2375,0.0995,0.07560390396381927
original,0.55,6,0.2272334861659976,0.06575285924308595,0.2235,0.48430130084483564,0,0.806,0.12,0.275,0.011274534377622223
original,0.55,7,0.42719381980953697,0.06276470948220679,2.1215,1.6543088435960198,1,0.235,0.424,0.0995,0.5365916177743513
original,0.55,8,0.28992475327397993,0.05967461935004859,0.5915,0.7633005633431696,0,0.55,0.225,0.0995,0.07728418238198118
original,0.55,9,0.2940316625848277,0.06201027476793618,0.6515,0.8677832390637652,0,0.5525,0.2555,0.179,0.09921908175573745
original,0.55,10,0.39381298904618633,0.0772696241893814,1.6605,1.4557608835244888,1,0.2935,0.3905,0.0995,0.4016273236025202
original,0.55,11,0.42339633050643505,0.06979759192432206,2.3065,1.6185047883772232,2,0.2505,0.4385,0.0995,0.531930906315777
original,0.55,12,0.2963317339600553,0.09925646676149827,0.847,1.1758362981299735,0,0.5565,0.256,0.1875,0.1334997504659681
original,0.55,13,0.3386868769534679,0.07568220124757415,0.9725,1.0764496040224085,0,0.433,0.306,0.0995,0.18676615980744285
original,0.55,14,0.3848257923714766,0.06462665147971997,1.3415,1.3597344409847094,0,0.3355,0.362,0.0995,0.3270827609479744
original,0.55,15,0.2795236535519441,0.054734521274680835,0.4065,0.6513507119824158,0,0.6745,0.1745,0.0995,0.036996557814937873
original,0.55,16,0.29342296954923275,0.06953952052257882,0.648,0.841484402707501,0,0.5515,0.24,0.0995,0.09057738148484115
original,0.55,17,0.4190286738603419,0.04480796411796696,2.0755,1.4116655942538232,1,0.2775,0.454,0.0995,0.46304749091909625
original,0.55,18,0.32763300710433485,0.07017678858711046,1.0115,1.0882866120650387,0,0.407,0.3095,0.0995,0.19973705156079277
original,0.55,19,0.23136381015585528,0.07196141157960909,0.2975,0.5366504914746655,0,0.7395,0.14,0.1725,0.019571643563878503
original,0.6,0,0.394802119614129,0.11761344406314113,2.51,2.0944927786936867,0,0.2435,0.3915,0.0995,0.6203254042269983
original,0.6,1,0.6123076655622977,0.01202149797404486,5.3485,1.393932476843839,5,0.3115,0.3425,0.0995,0.3287049607398643
original,0.6,2,0.311539635526813,0.09425392883332895,1.314,1.496129673524324,0,0.424,0.309,0.0995,0.266287144674324
original,0.6,3,0.3757144876262843,0.09489126274752717,2.6715,1.9203092849851036,1,0.21,0.468,0.0995,0.7099767503617369
original,0.6,4,0.3760063386640461,0.07701140103490484,2.106,1.8721014929752073,0,0.2395,0.3815,0.0995,0.5431542116567498
original,0.6,5,0.4125845772303775,0.09098130202713196,3.2385,1.862422548725181,4,0.1935,0.425,0.0995,0.6383686103594587
original,0.6,6,0.370198198244535,0.10742506767553649,1.899,1.7927071707336923,0,0.2885,0.358,0.0995,0.4566329936832851
original,0.6,7,0.485467067842529,0.03186852535965163,4.404,1.3452821265444657,5,0.308,0.4315,0.0995,0.40169855335285953
original,0.6,8,0.3871725667040404,0.11067710140377869,1.931,2.06233823608059,0,0.3715,0.357,0.0995,0.462736111847644
original,0.6,9,0.4061718902804715,0.09392333235745799,2.5405,2.1038915727765057,1,0.2145,0.423,0.0995,0.6990526909185516
original,0.6,10,0.46913231316939913,0.036079147119341994,4.0555,1.7393733785475733,3,0.228,0.5075,0.0995,0.6814690973239499
original,0.6,11,0.5320889882712245,0.02465362824427835,4.7235,1.3849360093520566,4,0.273,0.4655,0.0995,0.46868796788775746
original,0.6,12,0.4099668203888437,0.08073549160798527,2.7985,1.771975662925425,3,0.211,0.4655,0.0995,0.6508103368895075
original,0.6,13,0.4219299786858996,0.12646803648026106,2.89,2.2411827234743713,1,0.1975,0.468,0.0995,0.8417209972538188
original,0.6,14,0.43081793797442175,0.05568770422548549,3.276,1.5635932975041815,3,0.2495,0.481,0.0995,0.56444232743616
original,0.6,15,0.3450033468619853,0.10463430562439564,1.735,1.8225737296471711,0,0.338,0.3355,0.0995,0.40479544913491017
original,0.6,16,0.4193035217658443,0.09206176199505949,2.9635,1.9437509485528233,4,0.168,0.446,0.0995,0.721271553598594
original,0.6,17,0.4805566303012703,0.028474869206281866,4.311,1.6535655414890575,4,0.2155,0.545,0.0995,0.7069860824747225
original,0.6,18,0.39171539491369384,0.07629889531807496,2.228,1.7888588541301969,1,0.232,0.427,0.0995,0.5866312185618838
original,0.6,19,0.3518482324231671,0.14195827926601812,2.247,2.0300224136693665,0,0.2705,0.3515,0.166,0.5205368262771901
original,0.65,0,0.46598799366813787,0.09863348272029461,4.546,1.7854646454074636,5,0.22,0.406,0.0995,0.5654209453002982
original,0.65,1,0.7414466914874711,0.0030727805545362444,2.8405,0.9649143744395147,3,0.4245,0.0765,0.0995,0.042481079575788686
original,0.65,2,0.38523638607674954,0.10569876964382022,3.0745,1.9884541106095457,1,0.1855,0.398,0.0995,0.644599159110003
original,0.65,3,0.6037734502539808,0.008882491350506073,5.6295,1.4202921354425646,6,0.267,0.407,0.0995,0.4237171740997898
original,0.65,4,0.5322384990898396,0.01813876775796617,5.847,1.3170387238042776,6,0.306,0.462,0.0995,0.42227949284994276
original,0.65,5,0.6197365438709113,0.007878943863799216,4.63,1.3546586285850766,5,0.2775,0.225,0.0995,0.22021669428810234
original,0.65,6,0.4169661946558723,0.13023341990035195,3.573,2.167180426268196,5,0.2115,0.375,0.0995,0.640808164000999
original,0.65,7,0.6840687341275576,0.0026387239542492906,2.7945,0.8326282183543866,3,0.4505,0.0655,0.0995,0.029968163449594878
original,0.65,8,0.42554676796716884,0.06733008791685091,3.9025,1.613069666815417,4,0.238,0.4955,0.0995,0.6090483283983229
original,0.65,9,0.47407531478247245,0.055316883497933664,4.931,1.3100530523608576,5,0.304,0.452,0.0995,0.41213221076010387
original,0.65,10,0.6388191886068536,0.005790782414439226,3.998,1.254589972859659,4,0.301,0.2195,0.0995,0.19249236770780231
original,0.65,11,0.6761838750376262,0.004313682644306113,4.3065,1.2035604471733026,4,0.347,0.2175,0.0995,0.1709386821968312
original,0.65,12,0.604433097941733,0.01120015574338283,4.7355,1.4298740329133892,4,0.2875,0.281,0.0995,0.28627865583345724
original,0.65,13,0.49315097765298044,0.01590970933259383,5.477,1.286262414906072,6,0.3005,0.518,0.0995,0.4660656105792215
original,0.65,14,0.6053462755513395,0.005818096047363466,4.443,1.1030643680221022,4,0.344,0.2115,0.0995,0.1530435634004688
original,0.65,15,0.40417344757639706,0.06783181529947234,3.489,1.6863804434349918,4,0.216,0.475,0.0995,0.6280080784573132
original,0.65,16,0.5435276590035877,0.012293422019917741,5.931,1.2892784803912611,6,0.313,0.448,0.0995,0.39680897446663516
original,0.65,17,0.6155365997130107,0.005739691772514564,5.5775,1.3949887992381875,5,0.2725,0.3715,0.0995,0.3770183925769622
original,0.65,18,0.5228060689460298,0.01357816136948498,5.373,1.3931514634094888,5,0.2725,0.5325,0.0995,0.5396981707417073
original,0.65,19,0.3890056802312328,0.09040942427223914,3.711,1.7738317282087384,4,0.207,0.435,0.0995,0.611892125210894
original,0.7,0,0.7217877457970587,0.003305628594109063,2.985,1.110754248247559,3,0.3385,0.085,0.0995,0.06245493522810356
original,0.7,1,0.8022296452747967,0.0008001767364264544,1.374,0.49104378623499556,1,0.6295,0.0155,0.0995,0.002819941885332744
original,0.7,2,0.6626209833716501,0.002977715251145115,2.4985,0.9974957393392716,2,0.4145,0.061,0.0995,0.03562605966240551
original,0.7,3,0.7222358185339038,0.0024665353590148874,2.541,0.8416168962182259,3,0.45,0.0585,0.0995,0.027079024098710713
original,0.7,4,0.7062104412775945,0.0026275117626611503,3.0045,0.9200433413703945,3,0.3655,0.0955,0.0995,0.05574979684327122
original,0.7,5,0.7428730925067453,0.001091353203892699,1.425,0.5834166607151359,1,0.623,0.022,0.0995,0.0048388580039194174
original,0.7,6,0.6367688566313456,0.005162572349954668,3.5835,1.2004281527854967,4,0.344,0.1555,0.0995,0.12245327579682383
original,0.7,7,0.7758084380775901,0.0010542250720404931,1.422,0.4938785275753544,1,0.578,0.0115,0.0995,0.0023967927027399335
original,0.7,8,0.6352986154784552,0.0036468998421906183,3.7405,1.2017319792699204,3,0.3,0.157,0.0995,0.13207034536297663
original,0.7,9,0.70041252218955,0.002698017475347099,2.14,0.8991106717195609,2,0.4505,0.0635,0.0995,0.031372893940039885
original,0.7,10,0.7468358872097063,0.0018589337421060813,1.6335,0.6929485911667618,1,0.477,0.0265,0.0995,0.009603921361687848
original,0.7,11,0.7625005937100395,0.0019469405483961647,1.7985,0.7549157237731905,2,0.466,0.037,0.0995,0.014915625273435694
original,0.7,12,0.7206686323186332,0.0016560710398068718,1.7955,0.7153179363052488,2,0.448,0.0295,0.0995,0.011648237669650173
original,0.7,13,0.6713386865477803,0.0034309955215998666,3.3725,1.1170245073408194,3,0.363,0.1545,0.0995,0.10993364313825235
original,0.7,14,0.7430586664587481,0.0010729083013423276,1.488,0.5411617133537812,1,0.5335,0.014,0.0995,0.003534327402365484
original,0.7,15,0.6583224422107726,0.002475826524078198,2.1255,0.8641468335879037,2,0.434,0.0385,0.0995,0.018830624139821117
original,0.7,16,0.7137853891063837,0.0017464401347645573,1.44,0.4963869458396342,1,0.56,0.012,0.0995,0.0026209232924435245
original,0.7,17,0.7196710932823748,0.0022319810173671846,2.26,0.893532316147547,2,0.477,0.0605,0.0995,0.02827270324870001
original,0.7,18,0.6719542568749712,0.004502234339782556,3.568,1.053269196359601,4,0.359,0.1365,0.0995,0.0921573689144234
original,0.7,19,0.7141529525402779,0.003178906892425713,2.6685,1.1504815296214017,3,0.3325,0.079,0.0995,0.060667768028706985
original,0.75,0,0.7898344442539846,0.0011726317342454068,1.415,0.4927220311697053,1,0.585,0.014,0.0995,0.0028627152055756312
original,0.75,1,0.8405849889497179,1.8181856234998608e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.75,2,0.7604847035390028,3.606566539767062e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.75,3,0.7845180064010049,0.00026944175917694585,1.0905,0.2868967584341099,1,0.9095,0.0045,0.6685,0.00011683873083644793
original,0.75,4,0.7769242337682031,0.00019559742108916337,1.0155,0.12353036064061339,1,0.9845,0.002,0.874,3.829443094579594e-06
original,0.75,5,0.8020900324336443,1.0135151274787368e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.75,6,0.754426342392633,0.00014887692297634863,1.1675,0.373421678535138,1,0.8325,0.0085,0.585,0.0005316591773625339
original,0.75,7,0.8247098390382195,2.8569879513185575e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.75,8,0.746781490788482,0.0005816242707051597,1.5845,0.4968498264063298,2,0.5805,0.0205,0.0995,0.004272784503066337
original,0.75,9,0.7773729526765689,8.087008201506323e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.75,10,0.8035693158148981,0.00013757404582773235,1.0295,0.1692032801100499,1,0.9705,0.0025,0.9125,1.247874689961293e-05
original,0.75,11,0.8126943995611827,0.00046108989806252097,2.0615,0.795435572501004,2,0.3635,0.0345,0.0995,0.017467169101737418
original,0.75,12,0.7853680316905074,5.450721199415209e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.75,13,0.7512102677507397,0.00027438763417388773,1.0755,0.2641964231400569,1,0.9245,0.004,0.721,7.978733973512716e-05
original,0.75,14,0.8037703797980543,1.6195367035042502e-05,1.976,0.15304901175767188,2,0.976,0.0015,0.9185,5.5097680964524745e-06
original,0.75,15,0.7638022655252475,8.911670739745747e-05,1.0305,0.17195857059187253,1,0.9695,0.0015,0.9045,7.867109849314564e-06
original,0.75,16,0.7837140115931396,0.0001799236580116199,1.1755,0.38039420342586716,1,0.8245,0.0075,0.425,0.0005006939370184802
original,0.75,17,0.7817952026490202,0.0007259394519351318,1.4045,0.4907950183121259,1,0.5955,0.013,0.0995,0.0025808458023208985
original,0.75,18,0.7505900981688853,0.0002691342873048844,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.75,19,0.7888505757433484,1.063311715099701e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,0,0.8300835323668189,6.458143729407145e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,1,0.8673014958060333,5.121361512789466e-07,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.8,2,0.8114100590141545,2.743110795715127e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,3,0.8246478014832295,7.334009139750433e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,4,0.8201235851990466,5.595796789619957e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,5,0.8392519475901252,5.096484865841709e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,6,0.807904786824865,1.1375216250189802e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,7,0.8565737792463083,6.241800653142083e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,8,0.8019297380662808,7.9523997657901e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,9,0.8218746997826658,9.370696699368129e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,10,0.8398367482223469,3.3905160804014016e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,11,0.8460102220820905,1.1320529003844825e-05,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.8,12,0.8262822767383461,7.144608598075024e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,13,0.800059466899307,4.033176672560118e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,14,0.8412040101550995,1.9612159568111823e-07,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.8,15,0.8154461890465439,1.1296308754390344e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,16,0.8260673495377393,2.217763868924895e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,17,0.8222380398385291,2.24371657900293e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,18,0.7999115396347606,4.051931778404906e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.8,19,0.8306555871380754,1.8478240093921974e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,0,0.8578260861189619,2.5523823617462574e-06,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.85,1,0.887100436554908,1.4792664808796703e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.85,2,0.8446692218008475,1.339833173166761e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,3,0.8529649003727231,1.9491573982221467e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,4,0.8498874279873594,1.305390875951884e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,5,0.8653574127618743,3.4811099983108548e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,6,0.8419213089468366,5.2817074232337094e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.85,7,0.8792822184551943,1.3088374216608273e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.85,8,0.8373000316282453,1.6807779308547388e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,9,0.8520055690251709,1.2853513630873439e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,10,0.8654625032993738,7.87717785099834e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,11,0.8700077983766009,2.5698558812318613e-07,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.85,12,0.8549246343062359,1.5957888412984678e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,13,0.833628714065012,5.6062772642007025e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,14,0.8672415972117713,2.4789440751029337e-09,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.85,15,0.8484822829690588,4.992749495277144e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,16,0.8552401781509227,2.910628633530358e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.85,17,0.8509695337443852,6.173479688642102e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,18,0.8336667784969874,6.494900267254979e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.85,19,0.8589279932791519,7.824343684878003e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,0,0.8783607996221097,9.580219179329373e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.9,1,0.9023850963341286,3.164560238960406e-10,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.9,2,0.8685533910653818,1.0389996794742732e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,3,0.8741655541251572,4.146591135994488e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,4,0.8719001383980007,3.2438771414902906e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,5,0.8848454483815245,2.8907251624929517e-10,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,6,0.8661930794903407,4.4899120261771554e-09,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.9,7,0.8963802957549111,2.872822458034047e-10,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.9,8,0.8624899975003093,4.637883960270159e-09,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.9,9,0.8740729090014008,1.4789156323643277e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,10,0.8846823541976332,1.6217613712763261e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,11,0.8881983173228583,6.282901693536991e-09,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.9,12,0.8762160708477353,1.879386980188976e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,13,0.8584233115280718,5.986756373279967e-10,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,14,0.8865697804412773,1.648747742941137e-10,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.9,15,0.8719688611718477,4.305242777475158e-09,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.9,16,0.8767257355653665,1.2203838463974445e-09,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.9,17,0.8725065629448964,1.8112289632461525e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,18,0.8584885605239237,1.2236647534598938e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.9,19,0.8797010544334086,5.618782644156017e-10,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.95,0,0.8942603744565218,3.3575559701420048e-09,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.95,1,0.914530000717239,2.1953630326129347e-11,2.0,0.0,2,1.0,0.0,1.0,0.0
original,0.95,2,0.8866529007391246,9.621358183031343e-11,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.95,3,0.8906574927662786,6.61176343645788e-11,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.95,4,0.8889018139269742,1.7320651515586065e-10,1.0,0.0,1,1.0,0.0,1.0,0.0
original,0.95,5,0.8999745519655289,2.6373818941787726e-11,1.0,0.0,1,1.0,0.0,1.0,0.0
