control_type,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
phase_reset,0.6,0.4171663048069904,0.06915519807238932,0.08088506291894856,0.03767419568547152,2.9329,1.0752874474933865,1.7547440801091412,0.27016537493274706,0.249675,0.05091951208059948,0.4224,0.05624490620211051,0.10057500000000001,0.004807546151624545,0.5566238528724232,0.11215428665275935
phase_reset,0.65,0.5414480534736275,0.10733848111894911,0.042237557194530706,0.05468532526692263,4.388525,0.9914443142655434,1.4753926666431165,0.4035709899277661,0.278025,0.06911612558433432,0.339025,0.138588417056063,0.0995,0.0,0.39361540162812514,0.20343452077289784
phase_reset,0.7,0.7114152187985284,0.045036765655460685,0.0025531047624848266,0.0014857698162255662,2.3526499999999997,0.8107734627469851,0.8726924945607589,0.3000172976369686,0.427475,0.10793376075411396,0.067925,0.05221773115875891,0.0995,0.0,0.04707009904417468,0.05045215254699884
phase_reset,0.75,0.7841549392994863,0.02549995239610081,0.0002254229668891548,0.0003061466575844407,1.202775,0.32638419704230065,0.2151410957303607,0.2335567020704862,0.8735250000000001,0.19010242910765654,0.005825,0.008907824768441685,0.7102,0.3598318466933365,0.0014500758881542974,0.003873201438087819
phase_reset,0.8,0.8264407394843764,0.018246630599797982,6.895099906627496e-06,1.4884893719748103e-05,1.15005,0.36632606628808884,0.001580348062927911,0.007067531393633849,0.9999499999999999,0.0002236067977499587,5e-05,0.000223606797749979,1.0,0.0,1.5803496432759753e-09,7.0675384611652484e-09
phase_reset,0.85,0.8553433370141181,0.014205062332924748,2.245454547362718e-07,5.610482589233075e-07,1.35,0.48936048492959294,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
phase_reset,0.9,0.8766413661814486,0.01156075940507318,7.091400474917047e-09,1.890580799675651e-08,1.45,0.5104177855340404,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
phase_reset,0.95,0.8930555501240149,0.009680692311251144,2.6011643117923405e-10,5.663018733005028e-10,1.45,0.5104177855340404,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
phase_reset,1.0,0.9061009174503315,0.008273278688068018,1.5298869610881546e-11,1.6746631575327785e-11,1.5,0.6069769786668839,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
phase_reset,1.05,0.9167089054898374,0.007181285127030913,1.5045789196703322e-12,1.0924602754498836e-12,1.45,0.6048053188292994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
phase_reset,1.1,0.9254910156477425,0.006311031612038156,1.9371505075542593e-13,1.5240354112959495e-13,1.45,0.6048053188292994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
phase_reset,1.15,0.9328681788021941,0.0056027530388766,2.8254531127224153e-14,2.241457054905345e-14,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
phase_reset,1.2,0.9391408149143171,0.005016368881324783,4.3591149106745785e-15,3.5145280975155854e-15,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
