K,seed,R_mean,R_std,dominant_cluster,dominant_fraction,switching_rate,collapse_time,memory_supported_lifetime,cluster_mean,cluster_std,single_cluster_lifetime_mean,multi_cluster_lifetime_mean,single_cluster_lifetime_max,multi_cluster_lifetime_max,n_switches
0.55,10,0.2109050139531099,0.07882586364004521,0,0.8044,0.1124,,0.1438,0.2224,0.4809763403744513,3.1784386617100373,1.8088235294117647,16,5,562
0.55,11,0.130550148844243,0.05765786492974469,0,0.9354,0.0442,,0.5132,0.0676,0.2627360652822524,2.8256880733944953,1.875,11,3,221
0.55,12,0.15225119715635704,0.06998647299211792,0,0.9152,0.0562,,0.3532,0.0898,0.30287944796568816,2.870503597122302,2.272727272727273,11,6,281
0.55,13,0.13448539072727309,0.053323227416264524,0,0.9234,0.0436,,0.4474,0.0778,0.27229976129258726,3.458715596330275,1.5,17,2,218
0.55,14,0.23038229285064935,0.048523551104672664,0,0.7952,0.126,,0.0398,0.2232,0.4588918826913372,3.0690789473684212,1.75,15,4,630
0.55,15,0.12302389185483398,0.05361995694868436,0,0.9254,0.0432,,0.3246,0.0766,0.27337234680925576,3.361111111111111,1.6666666666666667,12,4,216
0.55,16,0.09899319155630881,0.05372371703123763,0,0.9476,0.0326,,0.5088,0.054,0.23298927013920617,3.1358024691358026,2.0,8,4,163
0.55,17,0.15449288092917235,0.06527776961403034,0,0.917,0.058,,0.4158,0.0922,0.3207789893368953,2.612676056338028,2.3157894736842106,11,7,290
0.55,18,0.11966205075805394,0.06557412484382193,0,0.9414,0.04,,0.538,0.0598,0.24212385260440578,2.898989898989899,1.2,13,2,200
0.55,19,0.12163100591511752,0.056265303463561706,0,0.9346,0.0438,,0.4472,0.0672,0.25745710322304177,2.9174311926605503,1.2857142857142858,15,2,219
0.6,0,0.1733495358690011,0.0911549190560394,0,0.83,0.0946,,0.2636,0.2024,0.4798273022661383,3.144144144144144,1.974025974025974,12,8,473
0.6,1,0.19437349416804756,0.05970038938705102,0,0.8476,0.09,,0.0898,0.1716,0.43145502662502383,3.133640552995392,2.2162162162162162,14,7,450
0.6,2,0.150417935005382,0.06725333025603696,0,0.9006,0.0656,,0.3142,0.1108,0.3488887501769009,2.7911392405063293,2.0,12,5,328
0.6,3,0.1693867818382428,0.06654277956238772,0,0.9102,0.0612,,0.2804,0.095,0.31044323152550773,2.801324503311258,1.625,11,4,306
0.6,4,0.31371693910695936,0.05806274714645098,0,0.5666,0.2248,,0.0398,0.5624,0.7465294635846599,3.255952380952381,2.0873015873015874,16,11,1124
0.6,5,0.23265038398319263,0.06322737750604297,0,0.7716,0.1244,,0.0838,0.2686,0.5310876010603147,3.2783505154639174,2.292682926829268,17,7,622
0.6,6,0.1578767992057291,0.08454291324766365,0,0.8968,0.0738,,0.3962,0.1132,0.3475424578378878,2.5801104972375692,1.6333333333333333,10,4,369
0.6,7,0.23109119283193144,0.06436371890179403,0,0.8172,0.1114,,0.1132,0.2036,0.45447446572937406,3.059925093632959,1.9019607843137254,21,6,557
0.6,8,0.21667424571633428,0.08106490555267007,0,0.8198,0.107,,0.1128,0.196,0.43541244814543373,3.129277566539924,1.9024390243902438,15,6,535
0.6,9,0.12197491452299691,0.056824039484987064,0,0.9174,0.0518,,0.3226,0.0858,0.2912702525147393,3.0775193798449614,1.6,12,3,259
0.6,10,0.3295364462645236,0.10303206743574318,0,0.5054,0.259,,0.0684,0.7216,0.8727505027211385,2.977272727272727,2.0430839002267573,24,9,1295
0.6,11,0.19040012991394198,0.0545040615665326,0,0.8686,0.079,,0.1292,0.1382,0.364829768522252,3.216494845360825,1.736842105263158,18,5,395
0.6,12,0.1791933280753543,0.09118515671245188,0,0.8518,0.08,,0.2702,0.1734,0.44914634586067825,3.4216216216216218,2.0,15,8,400
0.6,13,0.15329676940723838,0.07728556792650153,0,0.8958,0.062,,0.3826,0.1114,0.3379201680870794,3.2039473684210527,1.5454545454545454,13,3,310
0.6,14,0.31125274272307835,0.06518602773512346,0,0.575,0.2328,,0.0398,0.53,0.7010706098532444,3.1447368421052633,1.8373983739837398,16,7,1164
0.6,15,0.1672378153363671,0.06838813503252489,0,0.8536,0.086,,0.189,0.1622,0.4116930409904933,3.1634615384615383,2.0555555555555554,15,5,430
0.6,16,0.1271423150898032,0.05835755863742158,0,0.9278,0.0406,,0.5782,0.0736,0.2664264251158282,3.4705882352941178,1.75,16,3,203
0.6,17,0.23560594258607048,0.070698026212013,0,0.7822,0.1188,,0.0812,0.2526,0.5145806447972952,3.282685512367491,2.051282051282051,13,9,594
0.6,18,0.16719026470393317,0.07020071989481781,0,0.8816,0.0774,,0.2902,0.1262,0.3547866401092352,2.9414893617021276,1.95,10,4,387
0.6,19,0.15197531242659204,0.06643189450790524,0,0.902,0.0602,,0.23,0.101,0.3111253766570641,3.1666666666666665,1.875,15,4,301
0.65,0,0.23979056309864455,0.09116931666281662,0,0.7066,0.151,,0.157,0.3478,0.587907441694694,3.399441340782123,2.0161290322580645,16,8,755
0.65,1,0.30780054122719575,0.10953148774943869,0,0.5416,0.2258,,0.0398,0.7762,1.0656986253158065,3.178048780487805,2.168859649122807,21,11,1129
0.65,2,0.28648215678463734,0.1011468646608359,0,0.6026,0.2254,,0.1086,0.5254,0.7409148669044238,2.861111111111111,2.0881226053639845,12,9,1127
0.65,3,0.24088286971693243,0.08406378636739688,0,0.7312,0.152,,0.1588,0.3276,0.5972254515674964,3.1379310344827585,1.9236641221374047,15,7,760
0.65,4,0.4517587839406042,0.06033929848664693,1,0.3112,0.4342,,0.0398,1.693,1.180148719441749,2.5804311774461026,1.9827327327327327,18,13,2171
0.65,5,0.32061019725070755,0.08954650580619505,0,0.5038,0.2708,,0.05,0.7992,0.993216673239027,2.808764940239044,2.0245746691871456,13,10,1354
0.65,6,0.3483801905927752,0.11154082492015022,0,0.4286,0.293,,0.0686,0.9414,1.0140838426875758,2.7884972170686457,2.1838709677419357,15,13,1465
0.65,7,0.39291255012121845,0.11476783969643152,0,0.3092,0.3664,,0.0898,1.2856,1.175939046039377,2.6500857632933106,1.9823468328141225,15,11,1832
0.65,8,0.30615672160331403,0.10180538815337248,0,0.5704,0.238,,0.0812,0.5622,0.7430552873104396,3.001897533206831,1.9251700680272108,18,9,1190
0.65,9,0.15455575302790156,0.06361341636741966,0,0.888,0.069,,0.3008,0.1192,0.3461088846013636,3.143712574850299,1.75,12,4,345
0.65,10,0.4878782330776452,0.1040353943071066,2,0.255,0.4592,,0.0398,2.3734,1.525638371305599,2.2857142857142856,1.947542794036444,13,12,2296
0.65,11,0.34568929734023907,0.09577958889643366,0,0.4926,0.2736,,0.0486,0.7568,0.9171988661135599,2.9563636363636365,1.9341825902335457,15,9,1368
0.65,12,0.20640012181398648,0.10244299104600899,0,0.782,0.1192,,0.1624,0.3056,0.6724646012988341,3.1646586345381524,2.0972222222222223,15,7,596
0.65,13,0.19811383672598737,0.09300207293295838,0,0.8122,0.1008,,0.211,0.2154,0.4785424119135105,3.430379746835443,2.0655737704918034,16,7,504
0.65,14,0.439288589577444,0.06992885577188498,1,0.3282,0.4232,,0.0398,1.5212,1.1855591760852766,2.600633914421553,1.9008264462809918,21,12,2116
0.65,15,0.32521659431182154,0.07675759818421987,0,0.5776,0.235,,0.0398,0.6066,0.8543046529195542,2.991649269311065,1.9455587392550144,14,7,1175
0.65,16,0.1614241434407469,0.06515744722972362,0,0.8958,0.0584,,0.2816,0.108,0.3223910668737582,3.5104895104895104,1.9,12,7,292
