K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,R_var_mean,R_var_std,R_ac1_mean,R_ac1_std,recovery_proxy_mean,recovery_proxy_std,R_range_mean,R_range_std,rolling_var_mean,rolling_var_max_mean,rolling_ac1_mean,dR_dK,dVar_dK,dAC1_dK,dRecoveryProxy_dK,critical_slowing_score
0.65,0.5366778664711381,0.033424753659734234,0.040259356497594975,0.01183984423343911,0.0017539886014989394,0.0009896447562949891,0.9998667369518299,8.485855284705521e-05,0.014516333484497154,0.004117061643490489,0.15201366785953857,0.04000937810690268,0.00027557993579014077,0.0015041019811140586,0.9988912722630765,0.68411298234785,0.022347108758880168,-0.0007889960943643359,0.01687358013269108,0.5499538545781161
0.675,0.5565523832765118,0.03363706045176105,0.043812085838960534,0.014968358943666861,0.0021323480465535753,0.0015738622984891445,0.9998285315861434,8.891165038113216e-05,0.01558588280316372,0.0033057850770531563,0.16918299660897534,0.053110442008551445,0.0003556327052162206,0.002350333956671312,0.9983649990376829,0.7025214002562485,-0.00038604051228028485,-0.0013356260815520216,0.049832896574393104,0.572196631428805
0.7,0.5718039364839507,0.03407218521391295,0.039684929869862336,0.012969312651065676,0.0017346865758849292,0.0011187717634932933,0.9997999556477526,9.354412555273258e-05,0.017007978313216807,0.004073056245853296,0.15784176993441584,0.05383739737416686,0.00036721111399571553,0.002839807843558171,0.9982881805038011,0.6819408002698459,-0.018956897311597852,-0.004063590121582195,0.12253323909821173,0.5310819373256237
0.725,0.590649423290004,0.04449970890598581,0.03162373491859414,0.013933774596175444,0.001184503180973683,0.0008933482384242503,0.9996253520800641,0.00034757908280673205,0.021712544758074312,0.007731260425751072,0.13050916093217474,0.06122665367452171,0.00030633992294028993,0.0018042070012015874,0.9978952408898749,0.9371196152071253,-0.027289221347133845,-0.013068109259673832,0.29115486131411916,0.4940738590910356
0.75,0.618659917244307,0.053561622243945395,0.01681100103318018,0.009603494582738358,0.0003702255085282358,0.00034323519907669903,0.9991465501847688,0.0009056055111805384,0.03156572137892278,0.010639889529309707,0.06945359520110252,0.037569550493210604,0.00012384818463260537,0.0005353228114863801,0.9968686947933847,1.686391426419723,-0.02286882049648515,-0.05317666960378986,0.4757871744916299,0.4847352887892619
0.775,0.6749689946109902,0.050476628159805234,0.0057779843844899354,0.0028427289709223296,4.1062156149424616e-05,3.6689161864167984e-05,0.9969665185998746,0.004410944600820929,0.04550190348265583,0.009703068809313386,0.026217209591091,0.012945165238040734,2.288299620533141e-05,7.712065492076658e-05,0.9938991451246594,2.1853854891208506,-0.007253240986546536,-0.023358410273036867,0.27550614446984745,0.4925937756978056
0.8,0.7279291917003496,0.03927976426435885,0.0022838343764103727,0.0015719782180207006,7.5634592009087155e-06,1.2607578779044041e-05,0.9979786296711171,0.001904581643354404,0.045341028602415165,0.011041739297947316,0.00985020257983773,0.0068226994895699555,6.271969447189415e-06,1.582297119085346e-05,0.9966431624942086,1.8496689583617254,-0.0007770452724271542,0.037846465018130715,-0.21498373629452527,0.4567829823699769
0.825,0.7674524425290766,0.03010819338253312,0.0009823069246550058,0.001144766413241567,2.20989252806684e-06,5.335421809294016e-06,0.9988588418507813,0.0013572472193733442,0.03475271666792964,0.007711702173980306,0.00353020062593149,0.003992961743406569,1.9879030053177803e-06,3.775085606762174e-06,0.9985910255555426,1.3797196021140934,-0.00014742865180744709,0.030061415758218857,-0.311716023110291,0.4205059095654705
0.85,0.796915171806054,0.024446992036537756,0.00025690917906431154,0.00036422128069982094,1.9202661053638535e-07,4.037384929030753e-07,0.9994817004590277,0.00029804007232760686,0.02975522744690065,0.011565873892175955,0.0008372437635362328,0.0011525339920521395,1.7893896540544896e-07,2.933701190674591e-07,0.9993159106910747,1.0404991918779718,-4.4150109891855506e-05,0.014593060124749258,-0.1832661127466979,0.39441760019160704
0.875,0.8194774021229753,0.020903315949966184,2.7280622156576335e-05,4.158442432111898e-05,2.387033474062812e-09,4.7507320719475555e-09,0.9995884948570188,0.00029808371517445485,0.025589411030594734,0.013370933057169125,0.00011723089278805609,0.00017509971801350454,2.1582744655315216e-09,6.062902584317473e-09,0.999397411910196,0.8141237269279404,-3.840221809163248e-06,0.0036971011641568907,-0.1792617031942163,0.3806245192368748
