seed,K,R_mean,R_std,R_var,R_ac1,recovery_proxy,R_min,R_max,R_range,rolling_var_mean,rolling_var_max,rolling_ac1_mean
1,1.0,0.9110265562869965,1.1536281067098518e-11,1.3308578085909571e-22,0.9998995310616708,0.009612247444709067,0.9110265562813007,0.9110265563296924,4.839173506354655e-11,1.9281187843491768e-23,2.7125806477746707e-22,0.9992652090179263
1,1.025,0.9168057544001307,2.1169983582269593e-12,4.4816820487356414e-24,0.9999831305860151,0.006317941954171158,0.9168057543990843,0.9168057544107152,1.1630918450578065e-11,2.0042904347162053e-25,2.9615583741527084e-24,0.9728718640004868
1,1.05,0.9220198219793732,4.4248046923651914e-13,1.9578896565577015e-25,0.9999990534121816,0.006899694524994721,0.9220198219791726,0.9220198219816267,2.454036973631446e-12,1.1603231119593594e-26,2.5892077527350374e-25,0.84204594474009
1,1.075,0.9267389738970976,8.567415253876197e-14,7.340060413235055e-27,0.9999986048527564,0.007868735475094814,0.92673897389706,0.9267389738975219,4.619638005465276e-13,4.2427458553204e-28,9.367611264884578e-27,0.6256834530112324
1,1.1,0.9310217235671207,1.7032783817739953e-14,2.90115724581864e-28,0.9999273165607683,0.0145070216262835,0.9310217235671131,0.9310217235672074,9.425793479067579e-14,1.2971579473610278e-28,4.0445202459721805e-28,0.5220459717993211
1,1.125,0.9349184740837189,3.614490404619735e-15,1.3064540885088138e-29,0.999294382607619,0.04664973481736012,0.934918474083717,0.9349184740837378,2.0872192862952943e-14,7.701662898290816e-29,8.622748465132187e-29,0.4782800132851007
1,1.15,0.9384733667533073,8.294145742538102e-16,6.8792853598462926e-31,0.9843122925451094,0.1753854625550661,0.9384733667533065,0.9384733667533114,4.884981308350689e-15,1.833593369959619e-29,1.9782674638681963e-29,0.4911591974005349
1,1.175,0.9417252575887743,2.0812585990356538e-16,4.3316373560598524e-32,0.8548470906537439,0.707474985285462,0.9417252575887739,0.9417252575887755,1.5543122344752192e-15,1.1734532967840139e-30,1.3020600236732955e-30,0.0934212115058483
1,1.2,0.9447083080941822,1.1144882075417812e-16,1.2420839647496926e-32,0.158256880733945,1.3766233766233766,0.9447083080941818,0.9447083080941826,7.771561172376096e-16,5.676772315684651e-32,7.156695954585003e-32,0.7501940283931814
2,0.4,0.1462172027460928,0.04563261949536068,0.0020823359620083717,0.9999609131094551,0.007232328093234829,0.0495065672747706,0.2123250680820217,0.1628185008072511,0.00021006731651087586,0.001356438091635275,0.9997746684929328
2,0.425,0.1858299238709534,0.06848410621270774,0.004690072803753436,0.9999747558256334,0.00642176544169126,0.05318047612563158,0.30272326653299236,0.24954279040736077,0.00036035571813176854,0.001751533549619137,0.9998340931696229
2,0.45,0.16535805080221655,0.07624067484354528,0.005812640500599198,0.9999831212810012,0.006530891321984204,0.01914392031817475,0.3001386731094631,0.2809947527912884,0.00032619694330190583,0.0011326797019853806,0.9998745088967985
2,0.475,0.1754594504673158,0.043627470415270625,0.0019033561748353135,0.9999569372122816,0.008994965127266578,0.09561711424281154,0.26433944443469076,0.1687223301918792,0.00023852881518434405,0.0011194174713513615,0.9998409655026197
2,0.5,0.2373477646352421,0.061700522546113405,0.0038069544824634485,0.999975050554906,0.0075433374673516615,0.11273268539691507,0.32983552206670236,0.2171028366697873,0.00026518716189833416,0.0008431239949820669,0.9998257089327097
2,0.525,0.30720283378852464,0.032927355920028996,0.0010842107678842685,0.9999443159785029,0.011857281302142525,0.23853102431630926,0.36725938436235,0.12872836004604074,0.0001414705367230651,0.0003855930379045165,0.9997076433645273
2,0.55,0.3219842229030085,0.04911443528600139,0.002412227753462818,0.9999625878931508,0.0082415056072778,0.2430782505897466,0.4230158778005893,0.1799376272108427,0.00022038345463069547,0.0011428500901768458,0.9997773696993639
2,0.575,0.40602369061774757,0.031643193502527894,0.0010012916950384236,0.9999433815794986,0.010288468859049372,0.36302110069778104,0.47593561505395415,0.11291451435617311,0.00012639582461702124,0.0005297071816177639,0.999697458757975
2,0.6,0.41888307993292667,0.022469770775604626,0.0005048905987082156,0.9998909412879998,0.015105085123428908,0.3614224494160977,0.4516193434576584,0.09019689404156073,0.00012014158048554134,0.0003489502361046117,0.9995745387649116
2,0.625,0.44883530850346653,0.03201979190043459,0.0010252670733471362,0.9999217435021392,0.011961730114667687,0.39840372208735003,0.5097040800126617,0.11130035792531162,0.00014940559521287464,0.0006832793149264137,0.9994015961317144
2,0.65,0.4853281711653157,0.04189552507545604,0.001755235021348166,0.9999190096362558,0.01162482153447463,0.40895688777642875,0.5493192234839672,0.14036233570753848,0.00024244698387240163,0.0010755537816039128,0.9990257384350945
2,0.675,0.509022042483418,0.030341140831737622,0.000920584826971336,0.9998218566384026,0.017994110918539266,0.3998685035393278,0.5576898464142745,0.15782134287494676,0.00015157700270933665,0.0012554178670529164,0.9972127080789771
2,0.7,0.5013027407760358,0.0330251672854176,0.0010906616742298169,0.9998126244468774,0.018892552154660572,0.42590600147933794,0.5768479610009719,0.15094195952163397,0.0001527319753718023,0.0007615773180057997,0.9974100600244549
2,0.725,0.5127449533166193,0.0250712171135033,0.0006285659275524207,0.9996997942134903,0.02021377539462279,0.4580752973075131,0.5583624341483614,0.10028713684084828,0.00015205445484281542,0.0006113388271735765,0.9978801869279237
2,0.75,0.5575094220615371,0.03397856516047969,0.0011545428903649642,0.9998068758535282,0.02046703866947791,0.4903583520336498,0.6366823005848933,0.14632394855124348,0.00030761972237303094,0.0015128712043553398,0.9983958549623464
2,0.775,0.6156203073573423,0.009724263499529158,9.456130060827508e-05,0.9992281451649181,0.030181275396549526,0.5932360003976754,0.6364683220564665,0.043232321658791095,2.557873884488501e-05,9.187528474403611e-05,0.9957322487844339
2,0.8,0.7020825869740964,0.0021324001132505756,4.547130242991067e-06,0.9908019054500288,0.05626105604062303,0.6980238074405948,0.7078021089651206,0.009778301524525856,3.2667271858850315e-06,7.1722390569097514e-06,0.9835419021600255
2,0.825,0.7477075958611713,0.0007737841234336216,5.987418696779382e-07,0.9992247422057743,0.03601436113489136,0.746300142846649,0.7490585988600981,0.00275845601344904,5.30640196261527e-07,1.2541988582883602e-06,0.9990137431411523
2,0.85,0.781303635919076,9.961411934665696e-05,9.922972773210016e-09,0.9994403071396737,0.033564784585138716,0.7811534407941434,0.7815066778508238,0.00035323705668044436,8.410188451630156e-09,1.6959083188233098e-08,0.9993532036709595
2,0.875,0.8073122095896724,5.3201473510667e-06,2.8303967837062026e-11,0.9995301962403189,0.031501640831536414,0.8073045235892952,0.8073290323475028,2.4508758207586467e-05,1.9650694291993504e-11,9.165849855719359e-11,0.9993693526410468
