seed,branch,K,R_mean,R_std,cluster_mean,cluster_std,cluster_final
3,up,0.8,0.8246090646530216,4.5164944603430655e-05,1.0,0.0,1
3,up,0.825,0.839890863548882,2.4564564666441735e-05,1.0,0.0,1
3,up,0.85,0.8529548530013087,1.3507938334777367e-05,1.0,0.0,1
3,up,0.875,0.8642665151835299,7.6119009932839945e-06,1.0,0.0,1
3,up,0.9,0.8741626013191088,4.388767021327394e-06,1.0,0.0,1
3,up,0.925,0.8828948681706865,2.5812583160714355e-06,1.0,0.0,1
3,up,0.95,0.8906565392853559,1.54491847644739e-06,1.0,0.0,1
3,up,0.975,0.8975990709518368,9.390883171545937e-07,1.0,0.0,1
3,up,1.0,0.9038432593142672,5.787782055007868e-07,1.0,0.0,1
3,up,1.025,0.9094868653753047,3.611602052252385e-07,1.0,0.0,1
3,up,1.05,0.9146100036651955,2.2788957772602409e-07,1.0,0.0,1
3,up,1.075,0.9192790439810729,1.4524658299821776e-07,1.0,0.0,1
3,up,1.1,0.9235494955472049,9.341594295761319e-08,1.0,0.0,1
3,up,1.125,0.9274681775037648,6.057540581696812e-08,1.0,0.0,1
3,up,1.15,0.9310748781237123,3.957331266729109e-08,1.0,0.0,1
3,up,1.175,0.9344036408673325,2.602843047263029e-08,1.0,0.0,1
3,up,1.2,0.9374837735437374,1.722562247358625e-08,1.0,0.0,1
3,down,1.2,0.9374837820430013,9.85537918881547e-17,1.0,0.0,1
3,down,1.175,0.9344036662650919,2.4453151398671918e-08,1.0,0.0,1
3,down,1.15,0.9310749174813653,3.7080165132978e-08,1.0,0.0,1
3,down,1.125,0.9274682389608431,5.659522473634989e-08,1.0,0.0,1
3,down,1.1,0.9235495923180644,8.700127257337708e-08,1.0,0.0,1
3,down,1.075,0.9192791977648465,1.34800443186541e-07,1.0,0.0,1
3,down,1.05,0.9146102505435088,2.1068322881542164e-07,1.0,0.0,1
3,down,1.025,0.9094872661823034,3.3246077985832127e-07,1.0,0.0,1
3,down,1.0,0.9038439182072429,5.30239821411689e-07,1.0,0.0,1
3,down,0.975,0.8976001693574731,8.557191901913134e-07,1.0,0.0,1
3,down,0.95,0.8906583994183684,1.3992173210721345e-06,1.0,0.0,1
3,down,0.925,0.8828980751440111,2.3215373760944677e-06,1.0,0.0,1
3,down,0.9,0.8741682455044135,3.91508038835399e-06,1.0,0.0,1
3,down,0.875,0.8642766920580148,6.724486135367137e-06,1.0,0.0,1
