epsilon,N,R,T,DISCARD,mean_spatial_var,sync_score,mean_clusters,median_clusters,std_clusters,min_clusters,max_clusters,total_switches,mean_switches_per_step,mean_switch_fraction,n_dwell_segments,mean_sync_dwell,max_sync_dwell,mean_nonsync_dwell,max_nonsync_dwell,mean_cluster_count,median_cluster_count,std_cluster_count,min_cluster_count,max_cluster_count,mean_dwell,median_dwell,std_dwell,max_dwell,switching_count,switching_rate,dominant_cluster_state,dominant_fraction,n_segments,n_steps,cluster_threshold,state_tol,d_sync_score_dEps,abs_d_sync_score_dEps,d_mean_spatial_var_dEps,abs_d_mean_spatial_var_dEps,d_mean_clusters_dEps,abs_d_mean_clusters_dEps,d_mean_switch_fraction_dEps,abs_d_mean_switch_fraction_dEps,d_mean_dwell_dEps,abs_d_mean_dwell_dEps,d_max_dwell_dEps,abs_d_max_dwell_dEps,d_switching_rate_dEps,abs_d_switching_rate_dEps,d_dominant_fraction_dEps,abs_d_dominant_fraction_dEps,d_mean_cluster_count_dEps,abs_d_mean_cluster_count_dEps,abs_d_sync_score_dEps_norm,abs_d_mean_spatial_var_dEps_norm,abs_d_mean_clusters_dEps_norm,abs_d_mean_switch_fraction_dEps_norm,abs_d_mean_dwell_dEps_norm,abs_d_switching_rate_dEps_norm,abs_d_dominant_fraction_dEps_norm,abs_d_mean_cluster_count_dEps_norm,reorganization_score
0.4,200,3.8,5000,1000,0.0398453736696879,0.9616814435312908,16.069,16.0,2.6039852150117904,7,26,797479,199.4196049012253,0.9970980245061264,1,0,0,4000.0,4000,16.069,16.0,2.6039852150117904,7,26,1.1305822498586773,1.0,0.3927231682437842,5,3537,0.88425,16,0.15325,3538,4000,0.01,1,0.020664231232448316,0.020664231232448316,-0.022331973480927525,0.022331973480927525,6.225000000000023,6.225000000000023,-0.06129657414354028,0.06129657414354028,0.19381070363218456,0.19381070363218456,0.0,0.0,-0.15000000000000568,0.15000000000000568,-0.06875000000000053,0.06875000000000053,6.225000000000023,6.225000000000023,0.0755809678749037,0.07345160395002986,0.014434212232949127,0.018816505368580108,0.02271634868992215,0.02610114192496051,0.016728624535318704,0.014434212232949127,0.03278295210120166
0.42,200,3.8,5000,1000,0.0391239044705732,0.9623491440219476,15.87125,16.0,2.4854925945373485,8,25,796263,199.11552888222056,0.9955776444111027,1,0,0,4000.0,4000,15.87125,16.0,2.4854925945373485,8,25,1.140575990875392,1.0,0.419001228192487,5,3506,0.8765,16,0.14925,3507,4000,0.01,1,0.020987615195565468,0.020987615195565468,-0.022673661916304932,0.022673661916304932,-3.0562499999999773,3.0562499999999773,-0.029444861215299767,0.029444861215299767,0.30687232496164185,0.30687232496164185,0.0,0.0,-0.23749999999999716,0.23749999999999716,0.5687499999999983,0.5687499999999983,-3.0562499999999773,3.0562499999999773,0.0767763433262009,0.07458738748652138,0.0050399303303753085,0.00900380374596686,0.042321268644316075,0.0489396411092976,0.16542750929368208,0.0050399303303753085,0.05339197678334194
0.44,200,3.8,5000,1000,0.0389384271930357,0.9625209481391134,15.94675,16.0,2.40487306057929,7,25,796537,199.1840460115029,0.9959202300575144,1,0,0,4000.0,4000,15.94675,16.0,2.40487306057929,7,25,1.1428571428571428,1.0,0.4169862719807549,5,3499,0.87475,16,0.176,3500,4000,0.01,1,0.009993399522727486,0.009993399522727486,-0.010786177524260032,0.010786177524260032,-26.706249999999955,26.706249999999955,-0.07286196549137003,0.07286196549137003,0.23775663984607576,0.23775663984607576,-24.99999999999997,24.99999999999997,-0.18124999999999858,0.18124999999999858,0.9062499999999991,0.9062499999999991,-26.706249999999955,26.706249999999955,0.036136679581291194,0.03507300050449914,0.07515425522058988,0.0223795079204581,0.030336587561994355,0.03425774877650841,0.26579925650557806,0.07515425522058988,0.07178641141143863
0.46,200,3.8,5000,1000,0.0386924573696028,0.9627488800028566,14.803,15.0,2.22860741271315,7,24,793932,198.5326331582896,0.992663165791448,1,0,0,4000.0,4000,14.803,15.0,2.22860741271315,7,24,1.1500862564692351,1.0,0.4220949743516647,4,3477,0.86925,15,0.1855,3478,4000,0.01,1,-0.021619673479108314,0.021619673479108314,0.023357110854245078,0.023357110854245078,-1.356249999999818,1.356249999999818,-0.14353588397099415,0.14353588397099415,-0.6384676775738214,0.6384676775738214,-24.999999999999943,24.999999999999943,0.5,0.5,-0.47500000000000275,0.47500000000000275,-1.356249999999818,1.356249999999818,0.07911272064266803,0.07685919411318594,0.0,0.044152342433435514,0.09982000489777408,0.11745513866231627,0.13754646840149015,0.0,0.06936823364385875
0.48,200,3.8,5000,1000,0.0398727116272055,0.961656161199949,15.8925,16.0,2.6744053077273087,6,26,791945,198.03575893973493,0.9901787946986746,1,0,0,4000.0,4000,15.8925,16.0,2.6744053077273087,6,26,1.11731843575419,1.0,0.36720530577253,4,3579,0.89475,16,0.157,3580,4000,0.01,1,-0.005702616014573891,0.005702616014573891,0.006153907939685177,0.006153907939685177,13.918750000000102,13.918750000000102,-0.025506376594151448,0.025506376594151448,-0.18888877391311354,0.18888877391311354,0.0,0.0,0.14375000000000426,0.14375000000000426,-0.7187500000000018,0.7187500000000018,13.918750000000102,13.918750000000102,0.020275975720043964,0.019675184874774026,0.037243602809020775,0.0077904569310043945,0.02186288456099055,0.02446982055465019,0.21003717472119232,0.037243602809020775,0.04732483787258713
0.5,200,3.8,5000,1000,0.0389386136871902,0.9625207753622737,15.35975,15.0,2.460961181632088,6,25,793116,198.3285821455364,0.991642910727682,1,0,0,4000.0,4000,15.35975,15.0,2.460961181632088,6,25,1.1425307055127107,1.0,0.4020360840011107,4,3500,0.875,16,0.15675,3501,4000,0.01,1,0.029528969829357266,0.029528969829357266,-0.031891545217869965,0.031891545217869965,-11.787500000000023,11.787500000000023,-0.02341210302575547,0.02341210302575547,0.4197467897290217,0.4197467897290217,49.99999999999997,49.99999999999997,-0.3312500000000007,0.3312500000000007,0.24999999999999956,0.24999999999999956,-11.787500000000023,11.787500000000023,0.10834910763906634,0.10522793311591545,0.030925160740425617,0.00714526457701408,0.06189373559321332,0.07340946166394778,0.07063197026022537,0.030925160740425617,0.0610634742912792
0.52,200,3.8,5000,1000,0.0385970498184907,0.9628373199931234,15.421,15.0,2.4011994919206527,8,25,791196,197.8484621155289,0.9892423105776444,1,0,0,4000.0,4000,15.421,15.0,2.4011994919206527,8,25,1.134108307343351,1.0,0.406764035546763,6,3526,0.8815,15,0.167,3527,4000,0.01,1,-0.003096902029756876,0.003096902029756876,0.0033432060139850783,0.0033432060139850783,-1.6999999999999886,1.6999999999999886,-0.12193673418354933,0.12193673418354933,-0.4812681994577588,0.4812681994577588,24.99999999999997,24.99999999999997,0.375,0.375,0.10625000000000018,0.10625000000000018,-1.6999999999999886,1.6999999999999886,0.01064406169274373,0.010332319730189502,0.0010191035594512997,0.03749819442438417,0.07256156698489986,0.08482871125611725,0.0278810408921959,0.0010191035594512997,0.03072301276242913
0.54,200,3.8,5000,1000,0.0390723419277496,0.9623968992810834,15.29175,15.0,2.53665763111619,7,24,789215,197.353088272068,0.98676544136034,1,0,0,4000.0,4000,15.29175,15.0,2.53665763111619,7,24,1.1232799775344005,1.0,0.3839229400377401,5,3560,0.89,15,0.161,3561,4000,0.01,1,-0.011651969279288465,0.011651969279288465,0.012574877967755027,0.012574877967755027,-21.206249999999955,21.206249999999955,-0.0038447111777912824,0.0038447111777912824,-0.20747829996430056,0.20747829996430056,0.0,0.0,0.16250000000000142,0.16250000000000142,-0.38124999999999964,0.38124999999999964,-21.206249999999955,21.206249999999955,0.04226751412282568,0.0410186992905665,0.058848598269377175,0.00111704944869715,0.025086314102670832,0.0293637846655793,0.10966542750929596,0.058848598269377175,0.04577699820979872
0.56,200,3.8,5000,1000,0.0391000449372009,0.9623712412219518,14.57275,15.0,2.540414816029068,7,25,791073,197.81770442610653,0.9890885221305328,1,0,0,4000.0,4000,14.57275,15.0,2.540414816029068,7,25,1.125809175344779,1.0,0.4042983583601629,6,3552,0.888,15,0.15175,3553,4000,0.01,1,0.005500234890739364,0.005500234890739364,-0.005937088677285041,0.005937088677285041,-13.01874999999984,13.01874999999984,0.004907476869224325,0.004907476869224325,0.3594112556104143,0.3594112556104143,-2.7000623958883807e-13,2.7000623958883807e-13,-0.28124999999999645,0.28124999999999645,-0.03749999999999698,0.03749999999999698,-13.01874999999984,13.01874999999984,0.01952788226202023,0.018954470553973826,0.034575404398821556,0.0014444604940081999,0.05143153539749834,0.06035889070146706,0.007434944237919893,0.034575404398821556,0.028537874055566334
0.58,200,3.8,5000,1000,0.0388348583806582,0.9626169086767128,14.771,15.0,2.527559890487266,7,24,789372,197.39234808702176,0.9869617404351088,1,0,0,4000.0,4000,14.771,15.0,2.527559890487266,7,24,1.1376564277588168,1.0,0.4045300539539327,5,3515,0.87875,15,0.1595,3516,4000,0.01,1,-0.005734290758550031,0.005734290758550031,0.006192955501887254,0.006192955501887254,22.91249999999991,22.91249999999991,-0.036477869467372415,0.036477869467372415,-0.15754396520357616,0.15754396520357616,-3.126388037344441e-13,3.126388037344441e-13,0.12499999999999645,0.12499999999999645,0.05625000000000169,0.05625000000000169,22.91249999999991,22.91249999999991,0.020393060101749946,0.019804980248855863,0.06390705775537825,0.011170494486978065,0.016427685078527765,0.019575856443718297,0.013011152416359945,0.06390705775537825,0.028524668035868297
