shuffle_id,epsilon_star,peak_score,orig_epsilon_star,orig_peak_score
54,0.0,0.47952677576752895,0.18,0.7656098373095557
55,0.0,0.6156875875266811,0.18,0.7656098373095557
56,0.0,0.4996528439902694,0.18,0.7656098373095557
57,0.58,0.44581173467326896,0.18,0.7656098373095557
58,1.0,0.40376964938928644,0.18,0.7656098373095557
59,0.0,0.5186296284119991,0.18,0.7656098373095557
60,0.44,0.3783804898143336,0.18,0.7656098373095557
61,1.0,0.5931193071396246,0.18,0.7656098373095557
62,0.0,0.47258780416058915,0.18,0.7656098373095557
63,1.0,0.36391571801018485,0.18,0.7656098373095557
64,0.0,0.3901109729614044,0.18,0.7656098373095557
65,1.0,0.39266408922232127,0.18,0.7656098373095557
66,1.0,0.48073502369337123,0.18,0.7656098373095557
67,1.0,0.5187640082639895,0.18,0.7656098373095557
68,1.0,0.49472572918634544,0.18,0.7656098373095557
69,0.0,0.48801701727092933,0.18,0.7656098373095557
70,0.0,0.464688713467595,0.18,0.7656098373095557
71,0.24,0.42927669787681205,0.18,0.7656098373095557
72,0.0,0.41575378046981437,0.18,0.7656098373095557
73,0.0,0.39949406538035626,0.18,0.7656098373095557
74,1.0,0.4692052539117776,0.18,0.7656098373095557
75,0.26,0.42506014699063727,0.18,0.7656098373095557
76,0.0,0.39303185981123845,0.18,0.7656098373095557
77,1.0,0.6750388793124318,0.18,0.7656098373095557
78,1.0,0.48154823180967987,0.18,0.7656098373095557
79,1.0,0.4867695625297064,0.18,0.7656098373095557
80,0.0,0.5874893019709124,0.18,0.7656098373095557
81,0.28,0.38366841747552033,0.18,0.7656098373095557
82,0.0,0.4226777118662885,0.18,0.7656098373095557
83,1.0,0.5212013927102953,0.18,0.7656098373095557
84,0.34,0.5488154692946422,0.18,0.7656098373095557
85,0.02,0.3705576790422986,0.18,0.7656098373095557
86,0.0,0.5998978395475862,0.18,0.7656098373095557
87,1.0,0.4246877727646494,0.18,0.7656098373095557
88,0.9,0.4552355873203376,0.18,0.7656098373095557
89,0.12,0.389274876118103,0.18,0.7656098373095557
90,0.82,0.3126717493985828,0.18,0.7656098373095557
91,1.0,0.40592200459628813,0.18,0.7656098373095557
92,0.3,0.34952148603414906,0.18,0.7656098373095557
93,1.0,0.4628597588559539,0.18,0.7656098373095557
94,0.1,0.4638959408791938,0.18,0.7656098373095557
95,1.0,0.4471738263140462,0.18,0.7656098373095557
96,1.0,0.5772917511759607,0.18,0.7656098373095557
97,1.0,0.4297373753442499,0.18,0.7656098373095557
98,0.82,0.4429721135749364,0.18,0.7656098373095557
99,0.14,0.47016273602721204,0.18,0.7656098373095557
100,1.0,0.5107975253496562,0.18,0.7656098373095557
101,1.0,0.3964528306796351,0.18,0.7656098373095557
102,0.28,0.40570584290499956,0.18,0.7656098373095557
103,0.0,0.4208486374191656,0.18,0.7656098373095557
104,0.12,0.40092646702899554,0.18,0.7656098373095557
105,0.9,0.3896479354881801,0.18,0.7656098373095557
106,1.0,0.4361167880422515,0.18,0.7656098373095557
107,0.88,0.4156686367709268,0.18,0.7656098373095557
108,0.48,0.37999992402890886,0.18,0.7656098373095557
109,0.0,0.5244792696557768,0.18,0.7656098373095557
110,0.14,0.4256024839245132,0.18,0.7656098373095557
111,1.0,0.5159791908111669,0.18,0.7656098373095557
112,0.88,0.35707476656841247,0.18,0.7656098373095557
113,1.0,0.4031942449132209,0.18,0.7656098373095557
114,0.32,0.4313655214474066,0.18,0.7656098373095557
115,0.22,0.5283170938832014,0.18,0.7656098373095557
116,1.0,0.5915288857999011,0.18,0.7656098373095557
117,1.0,0.4832826307485164,0.18,0.7656098373095557
118,0.86,0.4027280171092609,0.18,0.7656098373095557
119,0.0,0.5218673111762335,0.18,0.7656098373095557
120,0.82,0.4106346287184714,0.18,0.7656098373095557
121,1.0,0.3249795901625754,0.18,0.7656098373095557
122,0.0,0.4319757969035471,0.18,0.7656098373095557
123,0.42,0.42541760173039705,0.18,0.7656098373095557
124,1.0,0.5233653890200098,0.18,0.7656098373095557
125,1.0,0.4197646774208185,0.18,0.7656098373095557
126,0.92,0.3936571202966741,0.18,0.7656098373095557
127,1.0,0.31392011004734843,0.18,0.7656098373095557
128,0.82,0.4434414018157525,0.18,0.7656098373095557
129,1.0,0.41508926564864296,0.18,0.7656098373095557
130,0.84,0.456883345547472,0.18,0.7656098373095557
131,0.4,0.40955610661675534,0.18,0.7656098373095557
132,0.0,0.5178820928120813,0.18,0.7656098373095557
133,0.0,0.4604880602217622,0.18,0.7656098373095557
134,0.0,0.5108389664336855,0.18,0.7656098373095557
135,0.74,0.43405096568208756,0.18,0.7656098373095557
136,0.0,0.4594465775159866,0.18,0.7656098373095557
137,0.0,0.4509711233129646,0.18,0.7656098373095557
138,0.0,0.6493699473330619,0.18,0.7656098373095557
139,0.0,0.4115964070808491,0.18,0.7656098373095557
140,1.0,0.5250786874379929,0.18,0.7656098373095557
141,0.0,0.43353653062010744,0.18,0.7656098373095557
142,0.0,0.5165544523401304,0.18,0.7656098373095557
143,0.12,0.47629485761259094,0.18,0.7656098373095557
144,1.0,0.4017634426783812,0.18,0.7656098373095557
145,0.0,0.4657119823652278,0.18,0.7656098373095557
146,0.0,0.4316002256993819,0.18,0.7656098373095557
147,0.62,0.41941971869354977,0.18,0.7656098373095557
148,0.58,0.38335453198895136,0.18,0.7656098373095557
149,1.0,0.6877743173001737,0.18,0.7656098373095557
150,0.0,0.4165083855106511,0.18,0.7656098373095557
151,0.0,0.44964966372240345,0.18,0.7656098373095557
152,0.82,0.5207543281210959,0.18,0.7656098373095557
153,1.0,0.6462003533033847,0.18,0.7656098373095557
154,0.48,0.5315950125563148,0.18,0.7656098373095557
155,1.0,0.48307724817799297,0.18,0.7656098373095557
156,0.74,0.4907484184825008,0.18,0.7656098373095557
157,1.0,0.3917867397568442,0.18,0.7656098373095557
158,0.0,0.39046965398664557,0.18,0.7656098373095557
159,1.0,0.44693906078174866,0.18,0.7656098373095557
160,0.76,0.3854565523046791,0.18,0.7656098373095557
161,0.56,0.47155830216967387,0.18,0.7656098373095557
162,0.0,0.431159562820579,0.18,0.7656098373095557
163,0.0,0.42382496415959836,0.18,0.7656098373095557
164,0.0,0.3922432160606254,0.18,0.7656098373095557
165,0.22,0.4299755916903899,0.18,0.7656098373095557
166,0.82,0.463700219860742,0.18,0.7656098373095557
167,1.0,0.3815599184866324,0.18,0.7656098373095557
168,0.4,0.3977417670318227,0.18,0.7656098373095557
169,1.0,0.38842746376781156,0.18,0.7656098373095557
170,0.84,0.44317772008654926,0.18,0.7656098373095557
171,0.14,0.4445195346916279,0.18,0.7656098373095557
172,1.0,0.6490017210061845,0.18,0.7656098373095557
173,0.0,0.5102189797573317,0.18,0.7656098373095557
174,0.62,0.4228880255995897,0.18,0.7656098373095557
175,0.0,0.3425416060203623,0.18,0.7656098373095557
176,1.0,0.47770854246373623,0.18,0.7656098373095557
177,1.0,0.4068856980481739,0.18,0.7656098373095557
178,0.62,0.5016468215400404,0.18,0.7656098373095557
179,0.0,0.5212902409218453,0.18,0.7656098373095557
180,0.0,0.5154864414405426,0.18,0.7656098373095557
181,0.56,0.43416996954566134,0.18,0.7656098373095557
182,1.0,0.49271636383923767,0.18,0.7656098373095557
183,1.0,0.3865571850404594,0.18,0.7656098373095557
184,0.58,0.467145821366856,0.18,0.7656098373095557
185,1.0,0.41923136400400624,0.18,0.7656098373095557
186,0.56,0.4401630936479098,0.18,0.7656098373095557
187,1.0,0.4507067069901843,0.18,0.7656098373095557
188,0.76,0.42760168451748676,0.18,0.7656098373095557
189,1.0,0.40348557063390694,0.18,0.7656098373095557
190,0.1,0.4831617225158574,0.18,0.7656098373095557
191,0.8,0.45695214227692266,0.18,0.7656098373095557
192,0.0,0.47043526769717847,0.18,0.7656098373095557
193,0.08,0.44916454720742355,0.18,0.7656098373095557
194,1.0,0.4302520574690348,0.18,0.7656098373095557
195,0.08,0.46576716524459016,0.18,0.7656098373095557
196,1.0,0.39808821786723364,0.18,0.7656098373095557
197,0.0,0.4714391918867664,0.18,0.7656098373095557
198,0.2,0.41781703351592375,0.18,0.7656098373095557
199,1.0,0.530867224359229,0.18,0.7656098373095557
200,0.36,0.41900944236829746,0.18,0.7656098373095557
201,0.0,0.47885538390564797,0.18,0.7656098373095557
202,0.66,0.42538365378813064,0.18,0.7656098373095557
203,1.0,0.4644439854075498,0.18,0.7656098373095557
204,0.0,0.41137285197073803,0.18,0.7656098373095557
205,1.0,0.519152170231926,0.18,0.7656098373095557
206,0.84,0.444348930744231,0.18,0.7656098373095557
207,0.66,0.37192747444245605,0.18,0.7656098373095557
208,0.0,0.5729121748472021,0.18,0.7656098373095557
209,0.66,0.65647228295258,0.18,0.7656098373095557
210,0.0,0.5440408017476246,0.18,0.7656098373095557
211,1.0,0.427281902488135,0.18,0.7656098373095557
212,0.0,0.4623661036889419,0.18,0.7656098373095557
213,0.88,0.3816045525108961,0.18,0.7656098373095557
214,0.12,0.4459768846615616,0.18,0.7656098373095557
215,0.22,0.44370035841265093,0.18,0.7656098373095557
216,0.46,0.5375895861399473,0.18,0.7656098373095557
217,1.0,0.5569854558399869,0.18,0.7656098373095557
218,0.22,0.4447825279966902,0.18,0.7656098373095557
219,0.9,0.47750446665212976,0.18,0.7656098373095557
220,0.84,0.3985475079309539,0.18,0.7656098373095557
221,1.0,0.40534560807027437,0.18,0.7656098373095557
222,0.6,0.5795007700344539,0.18,0.7656098373095557
223,0.82,0.37679398158081057,0.18,0.7656098373095557
224,0.14,0.4390455224219092,0.18,0.7656098373095557
225,0.18,0.38124072524838215,0.18,0.7656098373095557
226,0.0,0.38513584183700067,0.18,0.7656098373095557
227,0.0,0.5426009970035636,0.18,0.7656098373095557
228,1.0,0.43332066959762977,0.18,0.7656098373095557
229,1.0,0.41087739647623633,0.18,0.7656098373095557
