epsilon,N,R,T,DISCARD,mean_spatial_var,sync_score,mean_clusters,median_clusters,std_clusters,min_clusters,max_clusters,total_switches,mean_switches_per_step,mean_switch_fraction,n_dwell_segments,mean_sync_dwell,max_sync_dwell,mean_nonsync_dwell,max_nonsync_dwell
0.3,200,3.8,5000,1000,0.0408023917261306,0.9607971772062692,12.19475,11.0,4.525739987836244,5,26,798991,199.7976994248562,0.9989884971242812,1,0,0,4000.0,4000
0.32,200,3.8,5000,1000,0.0405392398401018,0.961040162362035,17.03575,17.0,3.0517981482234378,8,28,797822,199.505376344086,0.99752688172043,1,0,0,4000.0,4000
0.34,200,3.8,5000,1000,0.0407390446234762,0.9608556584535416,18.8185,19.0,2.7383494572460982,10,29,797119,199.3295823955989,0.9966479119779944,1,0,0,4000.0,4000
0.36,200,3.8,5000,1000,0.0401315514654053,0.961416850196626,17.14925,17.0,2.768749616252795,9,27,797837,199.50912728182047,0.9975456364091024,1,0,0,4000.0,4000
0.38,200,3.8,5000,1000,0.0400171834098103,0.9615225747726496,15.62225,16.0,2.7694864031982536,6,25,798224,199.60590147536885,0.9980295073768444,1,0,0,4000.0,4000
0.4,200,3.8,5000,1000,0.0398453736696879,0.9616814435312908,16.069,16.0,2.6039852150117904,7,26,797479,199.4196049012253,0.9970980245061264,1,0,0,4000.0,4000
0.42,200,3.8,5000,1000,0.0391239044705732,0.9623491440219476,15.87125,16.0,2.4854925945373485,8,25,796263,199.11552888222056,0.9955776444111027,1,0,0,4000.0,4000
0.44,200,3.8,5000,1000,0.0389384271930357,0.9625209481391134,15.94675,16.0,2.40487306057929,7,25,796537,199.1840460115029,0.9959202300575144,1,0,0,4000.0,4000
0.46,200,3.8,5000,1000,0.0386924573696028,0.9627488800028566,14.803,15.0,2.22860741271315,7,24,793932,198.5326331582896,0.992663165791448,1,0,0,4000.0,4000
0.48,200,3.8,5000,1000,0.0398727116272055,0.961656161199949,15.8925,16.0,2.6744053077273087,6,26,791945,198.03575893973493,0.9901787946986746,1,0,0,4000.0,4000
0.5,200,3.8,5000,1000,0.0389386136871902,0.9625207753622737,15.35975,15.0,2.460961181632088,6,25,793116,198.3285821455364,0.991642910727682,1,0,0,4000.0,4000
0.52,200,3.8,5000,1000,0.0385970498184907,0.9628373199931234,15.421,15.0,2.4011994919206527,8,25,791196,197.8484621155289,0.9892423105776444,1,0,0,4000.0,4000
0.54,200,3.8,5000,1000,0.0390723419277496,0.9623968992810834,15.29175,15.0,2.53665763111619,7,24,789215,197.353088272068,0.98676544136034,1,0,0,4000.0,4000
0.56,200,3.8,5000,1000,0.0391000449372009,0.9623712412219518,14.57275,15.0,2.540414816029068,7,25,791073,197.81770442610653,0.9890885221305328,1,0,0,4000.0,4000
0.58,200,3.8,5000,1000,0.0388348583806582,0.9626169086767128,14.771,15.0,2.527559890487266,7,24,789372,197.39234808702176,0.9869617404351088,1,0,0,4000.0,4000
0.6,200,3.8,5000,1000,0.0393477631572764,0.96214186959161,15.48925,16.0,2.598438846211317,7,24,789906,197.5258814703676,0.987629407351838,1,0,0,4000.0,4000
