epsilon,N,R,T,DISCARD,mean_spatial_var,sync_score,mean_clusters,median_clusters,std_clusters,min_clusters,max_clusters,total_switches,mean_switches_per_step,mean_switch_fraction,n_dwell_segments,mean_sync_dwell,max_sync_dwell,mean_nonsync_dwell,max_nonsync_dwell,mean_cluster_count,median_cluster_count,std_cluster_count,min_cluster_count,max_cluster_count,mean_dwell,median_dwell,std_dwell,max_dwell,switching_count,switching_rate,dominant_cluster_state,dominant_fraction,n_segments,n_steps,cluster_threshold,state_tol,reorganization_score
0.64,200,3.8,5000,1000,0.0392400513512413,0.962241590573592,14.7615,15.0,2.521729119076829,7,24,788818,197.2538134533633,0.9862690672668168,1,0,0,4000.0,4000,14.7615,15.0,2.521729119076829,7,24,1.1425307055127107,1.0,0.4090790465992015,5,3500,0.875,14,0.1585,3501,4000,0.01,1,0.1369541571615302
0.66,200,3.8,5000,1000,0.0394007603736547,0.962092811670168,15.0365,15.0,2.553951399302657,8,25,789977,197.54363590897725,0.9877181795448864,1,0,0,4000.0,4000,15.0365,15.0,2.553951399302657,8,25,1.122649452708392,1.0,0.4053398103079656,9,3562,0.8905,15,0.15875,3563,4000,0.01,1,0.0247970197577416
0.68,200,3.8,5000,1000,0.0394334031066616,0.9620625977683582,14.917,15.0,2.6440709143288874,6,24,788635,197.20805201300325,0.9860402600650162,1,0,0,4000.0,4000,14.917,15.0,2.6440709143288874,6,24,1.1277135607555682,1.0,0.3803555668016325,5,3546,0.8865,14,0.15325,3547,4000,0.01,1,0.0278823448262598
0.7,200,3.8,5000,1000,0.0393913668869986,0.962101506572085,14.775,15.0,2.6704634429252163,6,23,790248,197.61140285071264,0.9880570142535634,1,0,0,4000.0,4000,14.775,15.0,2.6704634429252163,6,23,1.1123470522803114,1.0,0.3693678990511854,5,3595,0.89875,14,0.14275,3596,4000,0.01,1,0.0166383025291417
0.72,200,3.8,5000,1000,0.0394673906485904,0.9620311411366506,14.782,15.0,2.7097003524375163,6,25,789858,197.5138784696174,0.987569392348087,1,0,0,4000.0,4000,14.782,15.0,2.7097003524375163,6,25,1.1207621182404035,1.0,0.3798480499603335,6,3568,0.892,15,0.14425,3569,4000,0.01,1,0.0542023513798359
0.74,200,3.8,5000,1000,0.0391778449254179,0.962299191503424,13.702,14.0,2.577827767714515,4,25,790071,197.56714178544635,0.9878357089272318,1,0,0,4000.0,4000,13.702,14.0,2.577827767714515,4,25,1.1254924029262805,1.0,0.3773371694107678,5,3553,0.88825,13,0.16275,3554,4000,0.01,1,0.0572775163401346
0.76,200,3.8,5000,1000,0.0391247685380604,0.962348343795996,13.85175,14.0,2.411902140946021,5,25,788123,197.08002000500124,0.9854001000250062,1,0,0,4000.0,4000,13.85175,14.0,2.411902140946021,5,25,1.139925904816187,1.0,0.4045538658331835,5,3508,0.877,13,0.158,3509,4000,0.01,1,0.070618762211135
0.78,200,3.8,5000,1000,0.0396166203269482,0.9618930483099728,15.157,15.0,2.7849328537686504,7,26,788045,197.06051512878216,0.985302575643911,1,0,0,4000.0,4000,15.157,15.0,2.7849328537686504,7,26,1.1163829193413342,1.0,0.3737359653086475,5,3582,0.8955,16,0.135,3583,4000,0.01,1,0.0558650307252605
0.8,200,3.8,5000,1000,0.0397585225742911,0.9617617728433188,15.21375,15.0,2.6271773707726704,6,27,789436,197.408352088022,0.98704176044011,1,0,0,4000.0,4000,15.21375,15.0,2.6271773707726704,6,27,1.1309018942606728,1.0,0.3872408151989948,5,3536,0.884,15,0.1475,3537,4000,0.01,1,0.1842629148221601
0.82,200,3.8,5000,1000,0.0392417560267595,0.9622400122019836,14.52775,15.0,2.267648548055893,8,25,779705,194.9749937484371,0.9748749687421856,1,0,0,4000.0,4000,14.52775,15.0,2.267648548055893,8,25,1.166861143523921,1.0,0.4086846825492537,6,3427,0.85675,15,0.243,3428,4000,0.01,1,0.0223269701852164
0.84,200,3.8,5000,1000,0.0399270622905238,0.9616059012806328,15.44675,15.0,2.661233630762245,6,25,788046,197.06076519129783,0.9853038259564892,1,0,0,4000.0,4000,15.44675,15.0,2.661233630762245,6,25,1.1210762331838564,1.0,0.3764713538732481,6,3567,0.89175,15,0.15375,3568,4000,0.01,1,0.1311917460343225
0.86,200,3.8,5000,1000,0.0394667330155007,0.9620317497790358,14.8865,15.0,2.538428204617968,7,25,785122,196.3295823955989,0.9816479119779944,1,0,0,4000.0,4000,14.8865,15.0,2.538428204617968,7,25,1.1318619128466327,1.0,0.3982674520822388,5,3533,0.88325,14,0.15975,3534,4000,0.01,1,0.0909570787319939
0.88,200,3.8,5000,1000,0.0397056367071859,0.9618106940028368,16.06375,16.0,2.3813202089387304,7,26,756145,189.08352088022005,0.9454176044011002,1,0,0,4000.0,4000,16.06375,16.0,2.3813202089387304,7,26,1.0946907498631635,1.0,0.3255398449130059,4,3653,0.91325,17,0.16375,3654,4000,0.01,1,0.078912904353186
0.9,200,3.8,5000,1000,0.0399807718442,0.9615562393780588,16.1415,16.0,2.439462594507241,8,25,753910,188.52463115778943,0.9426231557889472,1,0,0,4000.0,4000,16.1415,16.0,2.439462594507241,8,25,1.1229646266142617,1.0,0.3732121873158434,5,3561,0.89025,16,0.16125,3562,4000,0.01,1,0.1431071521810793
0.92,200,3.8,5000,1000,0.0402140660601979,0.9613405861617422,16.63775,17.0,2.255443401528844,10,26,729686,182.4671167791948,0.912335583895974,1,0,0,4000.0,4000,16.63775,17.0,2.255443401528844,10,26,1.1487650775416427,1.0,0.4243248818433326,5,3481,0.87025,16,0.19625,3482,4000,0.01,1,0.1047172770142862
