seed,K,R_before,R_after_final,R_min_after_perturb,recovery_time,cluster_final
4,0.75,0.7885393869970644,0.788539362266055,0.7158125386216496,1.5,1
4,0.775,0.8107602272780194,0.8107602271642766,0.7321361902935624,0.8200000000000001,1
4,0.8,0.8289736739613222,0.8289736739635847,0.749426865710445,0.88,1
4,0.825,0.8442313890027312,0.8442313890027179,0.7803594091710813,0.38,1
4,0.85,0.857224121241137,0.8572241212411376,0.7904910759399056,0.28,1
4,0.875,0.8684322175075972,0.8684322175075964,0.782051583668043,0.6,1
4,0.9,0.8782037137240153,0.8782037137240153,0.7915666627016857,0.72,1
4,0.925,0.8867987686455377,0.886798768645538,0.809654562056221,0.4,1
4,0.95,0.8944167008161604,0.8944167008161606,0.8169737197113792,0.38,1
4,0.975,0.9012133074364274,0.9012133074364274,0.8158576804665676,0.52,1
4,1.0,0.9073124195991358,0.9073124195991358,0.830839033279711,0.28,1
4,1.025,0.9128138710876595,0.9128138710876595,0.8615723983604426,0.06,1
4,1.05,0.9177991458533801,0.9177991458533801,0.8332509642373804,0.36,1
4,1.075,0.9223354729927052,0.9223354729927051,0.837783313479372,0.42,1
4,1.1,0.9264788544274546,0.9264788544274546,0.8579880099574384,0.22,1
4,1.125,0.9302763414830543,0.930276341483054,0.8574913983701751,0.26,1
4,1.15,0.933767772143661,0.933767772143661,0.871349787347883,0.12,1
4,1.175,0.9369871142107039,0.9369871142107037,0.8665351404763192,0.16,1
4,1.2,0.9399635160100119,0.9399635160100119,0.8459864440890539,0.32,1
5,0.4,0.11831646265741369,0.09836557520083618,0.0302779015028921,6.0600000000000005,1
5,0.425,0.08700167305487251,0.12107569303295605,0.0032548542016989563,4.76,1
5,0.45,0.09870469533180845,0.1587314819104481,0.005642869444520564,1.22,1
5,0.475,0.18555809890933633,0.23281780998575843,0.06110436997822682,0.0,1
5,0.5,0.27420880739014847,0.15275523270139985,0.15275523270139985,0.0,1
5,0.525,0.33792740905642193,0.29269392732500377,0.159076256144397,0.0,1
5,0.55,0.4422039823460779,0.18260433370001714,0.18260433370001714,80.0,1
5,0.575,0.3212189282558528,0.34668645541431514,0.2177639429548129,0.08,2
5,0.6,0.5276900248972377,0.3635593520474133,0.2852072311899949,6.08,2
5,0.625,0.4825164087049898,0.35438822925765645,0.304732360364969,2.08,2
5,0.65,0.5826960817917592,0.5867378323708754,0.5101863461919134,3.36,1
5,0.675,0.6719766385289615,0.6738393603558931,0.6154268576979621,1.3,1
5,0.7,0.7278808622443057,0.733684678688458,0.6359811536254725,2.16,1
5,0.725,0.7651347335084262,0.7648892467146623,0.6615747143011761,1.96,1
5,0.75,0.792732966706516,0.7927053714960599,0.7229052617220153,0.62,1
5,0.775,0.8142573684883667,0.8142578980890496,0.7289466396544122,1.12,1
5,0.8,0.8318747452427577,0.8318747245958915,0.7606540528468585,0.56,1
5,0.825,0.8466358428417584,0.8466358467899682,0.7553102817180462,0.78,1
5,0.85,0.8592220350523263,0.8592220350720253,0.7953417407234935,0.34,1
5,0.875,0.8700990413555814,0.8700990413569419,0.7955343242786569,0.48,1
5,0.9,0.8796009218249815,0.8796009218249475,0.7880285350487962,0.74,1
5,0.925,0.8879758874007099,0.8879758874007101,0.7946182193176291,0.58,1
5,0.95,0.8954134828141422,0.8954134828141423,0.8247306300004323,0.3,1
5,0.975,0.9020616602681581,0.902061660268158,0.833381470686258,0.32,1
5,1.0,0.9080380059566926,0.9080380059566926,0.8388913003273887,0.26,1
5,1.025,0.91343739744141,0.9134373974414098,0.8323876782229563,0.36,1
5,1.05,0.9183373857151081,0.9183373857151081,0.8349337080278136,0.38,1
5,1.075,0.9228020739643217,0.9228020739643218,0.863181624348999,0.18,1
5,1.1,0.9268849729795717,0.9268849729795718,0.8599350670255641,0.16,1
5,1.125,0.9306311420558355,0.9306311420558355,0.8446287019623131,0.36,1
5,1.15,0.9340788200265292,0.9340788200265289,0.849127170731448,0.3,1
5,1.175,0.9372606854870352,0.9372606854870352,0.8648851002373508,0.24,1
5,1.2,0.9402048427888576,0.9402048427888576,0.8606850905935852,0.22,1
6,0.4,0.060294207527308366,0.1326013561962761,0.012910209178680482,0.0,1
6,0.425,0.045988108576576335,0.035690994570275476,0.01855457711135192,0.0,1
6,0.45,0.14238917510942442,0.1744964406086529,0.020476851210145905,6.12,1
6,0.475,0.0865737168085353,0.09442511505109112,0.06279214733189196,5.62,1
