topology,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
all_to_all,0.4,14,0.0767953601238022,0.0402914301730127,0.0352173913043478,0.1912742071117749,0,0.9660869565217391,0.02,0.6926086956521739,0.0001297338165277
all_to_all,0.4,15,0.075266506270056,0.0419216092493795,0.0460869565217391,0.2117368984794426,0,0.9543478260869566,0.0308695652173913,0.5817391304347826,0.0002983929355952
all_to_all,0.4,16,0.0606770593636283,0.029210241724992,0.0234782608695652,0.1514167498531977,0,0.9765217391304348,0.0208695652173913,0.9017391304347826,7.41913486626556e-05
all_to_all,0.4,17,0.0729045169807771,0.0646948487565342,0.0517391304347826,0.2234541519731205,0,0.948695652173913,0.0360869565217391,0.6108695652173913,0.000413706999068
all_to_all,0.4,18,0.1158653673602242,0.028604149455935,0.0443478260869565,0.2079679341285788,0,0.9560869565217393,0.0313043478260869,0.5621739130434783,0.0002858871200933
all_to_all,0.4,19,0.0910126625259357,0.0338208065434571,0.0360869565217391,0.1865065363217526,0,0.9639130434782608,0.0239130434782608,0.7778260869565218,0.0001609456283389
all_to_all,0.5,0,0.0788025800693465,0.0311413950644345,0.0365217391304347,0.1898880378505043,0,0.9639130434782608,0.0278260869565217,0.6895652173913044,0.0001906777492082
all_to_all,0.5,1,0.1456563146276533,0.0559802489408636,0.1121739130434782,0.3369035021400836,0,0.8947826086956522,0.0556521739130434,0.3678260869565217,0.0019727642854086
all_to_all,0.5,2,0.0901625850626822,0.0382638523114711,0.02,0.1460791923402597,0,0.9808695652173912,0.0165217391304347,0.9117391304347826,4.617096869113956e-05
all_to_all,0.5,3,0.1163832813653062,0.0386850522773779,0.0508695652173913,0.2197313190057004,0,0.9491304347826088,0.0321739130434782,0.5669565217391305,0.0003596283211873
all_to_all,0.5,4,0.2352851695087763,0.0412297317437391,0.2130434782608695,0.4642004325589343,0,0.808695652173913,0.1221739130434782,0.0904347826086956,0.0108494786297462
all_to_all,0.5,5,0.118492846419182,0.0608153913262293,0.0930434782608695,0.2964197197953501,0,0.908695652173913,0.057391304347826,0.2291304347826087,0.0015532617723814
all_to_all,0.5,6,0.0849356730180526,0.0412053468972354,0.0508695652173913,0.2197313190057004,0,0.9491304347826088,0.0356521739130434,0.6543478260869565,0.0003985070574046
all_to_all,0.5,7,0.2460094952595082,0.0698693964125286,0.2247826086956521,0.4485665048382011,0,0.788695652173913,0.1208695652173913,0.0865217391304347,0.0114565073416044
all_to_all,0.5,8,0.0740688113513387,0.0465912903315473,0.0426086956521739,0.2019732524543641,0,0.957391304347826,0.0339130434782608,0.6669565217391304,0.0002918494493924
all_to_all,0.5,9,0.1170473078161894,0.0581798530991873,0.0656521739130434,0.2579910023196212,0,0.9369565217391304,0.0360869565217391,0.4034782608695652,0.0005869417389332
all_to_all,0.5,10,0.164784077777829,0.0679705930789747,0.0882608695652173,0.3043760856445317,0,0.9178260869565218,0.0530434782608695,0.3617391304347826,0.0013267115151425
all_to_all,0.5,11,0.2157822444621624,0.0304385268537591,0.1534782608695652,0.3734807916095863,0,0.851304347826087,0.0913043478260869,0.1047826086956521,0.0050705842622269
all_to_all,0.5,12,0.0791614104046397,0.0349941439561295,0.0308695652173913,0.1729642597783731,0,0.9691304347826089,0.0182608695652173,0.7839130434782609,9.750084138075075e-05
all_to_all,0.5,13,0.1000005576646434,0.0372878953307984,0.0439130434782608,0.2049016546803301,0,0.9560869565217393,0.0330434782608695,0.6095652173913043,0.0002973204440311
all_to_all,0.5,14,0.0809346664026822,0.0486072593058145,0.0365217391304347,0.1898880378505043,0,0.9639130434782608,0.0291304347826086,0.7839130434782609,0.0001996157683811
all_to_all,0.5,15,0.1000133650515113,0.0555116970033044,0.0547826086956521,0.2294581436723101,0,0.9456521739130436,0.04,0.5126086956521739,0.000498822063932
all_to_all,0.5,16,0.0896272346896357,0.0405128354116307,0.0465217391304347,0.2167167796246716,0,0.954782608695652,0.0321739130434782,0.6947826086956522,0.0003152840052608
all_to_all,0.5,17,0.0879175838135467,0.0664037367775311,0.0691304347826086,0.2587665229923493,0,0.9321739130434784,0.0478260869565217,0.3443478260869565,0.0008394014418514
all_to_all,0.5,18,0.1705726316914378,0.0398077063428942,0.1304347826086956,0.348206313916103,0,0.8734782608695653,0.0795652173913043,0.2382608695652174,0.0035052988786443
all_to_all,0.5,19,0.1173222272547145,0.0434332422203799,0.0634782608695652,0.2455979162858104,0,0.9369565217391304,0.0408695652173913,0.3865217391304348,0.0006327976712443
all_to_all,0.6,0,0.0991219189188668,0.0392249694824409,0.0365217391304347,0.1988359318339614,0,0.9656521739130436,0.0269565217391304,0.7704347826086957,0.0001841017826561
all_to_all,0.6,1,0.3852645516582249,0.034074837313271,0.98,0.8775162577460862,1,0.4165217391304348,0.3234782608695652,0.0865217391304347,0.1656246418190181
all_to_all,0.6,2,0.1146307429974682,0.0484473639941673,0.0447826086956521,0.2268761310230261,0,0.9595652173913044,0.03,0.7508695652173913,0.0002752106202842
all_to_all,0.6,3,0.1850990742498099,0.0867060582854561,0.178695652173913,0.4209492827844568,0,0.8352173913043478,0.0943478260869565,0.3143478260869565,0.0065444484368588
all_to_all,0.6,4,0.3193084490561071,0.0460612723984217,0.4491304347826087,0.6557598516124385,0,0.6304347826086957,0.1982608695652173,0.0865217391304347,0.0480477353056695
all_to_all,0.6,5,0.1079653616306186,0.0494917338957407,0.0830434782608695,0.2942482652249656,0,0.9221739130434784,0.0443478260869565,0.4273913043478261,0.0010155737141057
all_to_all,0.6,6,0.1281513534577865,0.0489329648943987,0.0804347826086956,0.2767195764805255,0,0.9208695652173912,0.0521739130434782,0.3217391304347826,0.0011424490862324
all_to_all,0.6,7,0.4384658258853705,0.0397433433877047,1.2560869565217392,1.0417720652411564,1,0.37,0.3721739130434782,0.0865217391304347,0.2442638438490341
all_to_all,0.6,8,0.216178896050248,0.0853269489941003,0.1939130434782608,0.4420873328086518,0,0.8252173913043478,0.1047826086956521,0.2052173913043478,0.008096466046488
all_to_all,0.6,9,0.2256116129939103,0.04761807344922,0.1660869565217391,0.3959330106978988,0,0.8430434782608696,0.097391304347826,0.2147826086956521,0.0060523113999656
all_to_all,0.6,10,0.3431544905834126,0.0377509500186741,0.7482608695652174,0.8025077660407814,0,0.45,0.2730434782608695,0.0865217391304347,0.1205157319155035
all_to_all,0.6,11,0.4050038063484775,0.0363584248834849,1.1395652173913045,0.9731614918526896,1,0.4073913043478261,0.3756521739130434,0.0865217391304347,0.2166400977361494
all_to_all,0.6,12,0.1732347570158988,0.0507154527153295,0.1017391304347826,0.3135997473090298,0,0.9017391304347826,0.0626086956521739,0.3739130434782609,0.0019292609337304
all_to_all,0.6,13,0.1836073601132007,0.0692294524717427,0.1591304347826087,0.3965932429808554,0,0.8526086956521739,0.0926086956521739,0.0878260869565217,0.0054133853695921
all_to_all,0.6,14,0.3396778169914085,0.0507644287450517,0.7386956521739131,0.7939872102125427,0,0.4482608695652174,0.2817391304347826,0.0865217391304347,0.1234225355617593
all_to_all,0.6,15,0.2101246251883834,0.0664482007725085,0.1465217391304347,0.3842678945017415,0,0.8634782608695653,0.0878260869565217,0.2030434782608695,0.0046074374839271
all_to_all,0.6,16,0.1670595441600151,0.063530815426679,0.1043478260869565,0.3406876178114736,0,0.9056521739130434,0.0682608695652173,0.4026086956521739,0.0021941184539236
all_to_all,0.6,17,0.314791496287383,0.077260381139993,0.532608695652174,0.7004825503912617,0,0.5769565217391305,0.2165217391304348,0.0865217391304347,0.0641628777485628
all_to_all,0.6,18,0.2310590323497143,0.0542365981966533,0.2104347826086956,0.44436058860256,0,0.8043478260869565,0.1217391304347826,0.0904347826086956,0.0105840141065852
all_to_all,0.6,19,0.1228051987609918,0.0472404595659605,0.0595652173913043,0.2421278544913924,0,0.9417391304347826,0.0391304347826087,0.5343478260869565,0.0005519965973137
all_to_all,0.7,0,0.386426150603776,0.1108299830883272,1.3547826086956525,1.3227930580707443,0,0.3360869565217391,0.3630434782608696,0.0865217391304347,0.3188318864600366
all_to_all,0.7,1,0.7210866028019006,0.016843719760059,7.151304347826087,1.321946208034812,7,0.2852173913043478,0.5495652173913044,0.0865217391304347,0.5192864605735747
