run,direction,K,R_mean,R_std
5,forward,1.1500000000000001,0.997497654051636,1.3136335981433191e-16
5,forward,1.2,0.9978099912249087,1.529665482091057e-16
6,forward,0.2,0.9750858976427014,1.272616012004259e-05
6,forward,0.25,0.9598406887070369,3.906617147611579e-05
6,forward,0.30000000000000004,0.9755008936567007,1.7198957937912193e-06
6,forward,0.35000000000000003,0.9903386895157492,1.0292981306838258e-06
6,forward,0.4,0.9889245457722203,1.6857935987277318e-08
6,forward,0.45,0.993895457002929,2.7716618337579393e-08
6,forward,0.5,0.9922412414796721,7.737963817887346e-10
6,forward,0.55,0.9981290658110116,6.684621215685598e-11
6,forward,0.6000000000000001,0.994248996986305,6.244377537021727e-10
6,forward,0.65,0.9931172708171219,2.777311045302854e-10
6,forward,0.7,0.9977188422061634,4.9763855711364294e-12
6,forward,0.75,0.9948069121538068,1.6838718747086588e-11
6,forward,0.8,0.9985511540035482,5.316541446432496e-14
6,forward,0.8500000000000001,0.9981286305312328,4.943337210794967e-14
6,forward,0.9000000000000001,0.9984888258937566,8.642402301108751e-14
6,forward,0.95,0.9989669823289823,2.533821076502873e-15
6,forward,1.0,0.9993800065373618,1.4223317575247565e-15
6,forward,1.05,0.9992518319919986,5.043782016576512e-16
6,forward,1.1,0.9996158564860275,1.2931437557544112e-16
6,forward,1.1500000000000001,0.9982933530628728,2.4829478744655853e-16
6,forward,1.2,0.9989322691072876,2.685079989339015e-16
7,forward,0.2,0.9386795406716066,0.08394891954789734
7,forward,0.25,0.9894319441500988,4.488591785023888e-06
7,forward,0.30000000000000004,0.9649348512644054,1.0563057803878834e-05
7,forward,0.35000000000000003,0.9909366491668314,7.87809664838179e-07
7,forward,0.4,0.9927648016662143,1.4036301702597341e-08
7,forward,0.45,0.9941308885871674,4.282893868751269e-09
7,forward,0.5,0.9887711292851096,1.0556073773448985e-08
7,forward,0.55,0.9950884962411889,3.8749852960063375e-09
7,forward,0.6000000000000001,0.9952162788117885,2.1346616012209975e-11
7,forward,0.65,0.9929474167785867,1.2415150779142005e-10
