K,run,global_R,outsider_R,outsider_R_std,outsider_recruitment_score
0.75,5,0.9045748713857445,0.9235893913143397,3.257772906030278e-12,1.0210203936999105
0.75,6,0.9661616257725736,0.8739484837086645,4.727460100370988e-10,0.9045572297584505
0.75,7,0.9796819273769064,0.9621637290837245,4.06610661157701e-12,0.982118483760266
0.75,8,0.9687767650141814,0.8944937129518985,8.688206037353728e-10,0.9233228389182943
0.75,9,0.9826079462031548,0.90157611352203,2.4266543780515527e-09,0.9175339126910653
0.75,10,0.9657361524150068,0.9578427575668932,1.6346787363673398e-11,0.991826551352182
0.75,11,0.9288445079151786,0.8087315911732365,2.326590543791393e-09,0.8706856575893309
0.75,12,0.9679212849221235,0.844547775157536,1.950844656848144e-09,0.8725376622176603
0.75,13,0.9679938417081053,0.9090559949326179,3.620479652605786e-10,0.9391134072997553
0.75,14,0.9858416522573291,0.9237000112661349,1.522604988365732e-10,0.9369659003047371
0.75,15,0.9915408836148073,0.9614136619345375,1.4748506629014739e-10,0.9696157544493715
0.75,16,0.991849693042831,0.9687090046165963,3.0212716848324e-12,0.9766691580493214
0.75,17,0.9845348231719975,0.9558526159899445,2.0615314385029834e-10,0.9708672496818195
0.75,18,0.983071973920348,0.930165706762834,3.35916074053195e-11,0.9461827123933992
0.75,19,0.9791706921028156,0.9176617915013091,4.010403796588609e-10,0.9371826576320924
0.7999999999999999,0,0.9714561919347146,0.9265216960627598,1.5103656297308488e-10,0.9537452164637309
0.7999999999999999,1,0.9640436473649785,0.9576492092473484,1.1724750537843283e-12,0.9933670657587949
0.7999999999999999,2,0.9806886940551226,0.9754463384921838,1.8370515910406314e-11,0.9946544141930947
0.7999999999999999,3,0.9756475144057764,0.9255112468053334,8.848900869808192e-11,0.9486123145284419
0.7999999999999999,4,0.9873268203654868,0.9443371109634102,4.009530786818403e-12,0.9564584811064697
0.7999999999999999,5,0.9645629633283744,0.8980890440557651,4.627861839629438e-11,0.9310838983033707
0.7999999999999999,6,0.9749611731404553,0.8834654843075084,1.4856097936790352e-10,0.9061545307090173
0.7999999999999999,7,0.9762164317334743,0.9046989141205372,3.005780164770557e-11,0.926740100566767
0.7999999999999999,8,0.9945619996331407,0.9761867749795277,3.732839138310575e-13,0.9815243045065339
0.7999999999999999,9,0.9437242060070863,0.9668733382854459,2.834096953088424e-11,1.0245295523098634
0.7999999999999999,10,0.9472251410310226,0.965381960508367,1.6962402586118678e-10,1.0191684307033513
0.7999999999999999,11,0.9796113802908962,0.9679752639329318,5.7543123782251065e-11,0.9881217015307671
0.7999999999999999,12,0.947419460287416,0.76182310773108,2.557652463630377e-10,0.8041032928531611
0.7999999999999999,13,0.9787900128756233,0.8957809153599403,3.0508554420993785e-11,0.9151921286234597
0.7999999999999999,14,0.9743400298163223,0.930832861901758,1.0511262808405505e-11,0.95534703842177
0.7999999999999999,15,0.9852817894006981,0.9248563336974773,4.2392929073825313e-11,0.9386719044701786
0.7999999999999999,16,0.9595313599994961,0.9407361246344075,7.75144009696961e-13,0.9804120676513596
0.7999999999999999,17,0.9819633583735192,0.9813202032024757,3.309160314560498e-11,0.9993450313939329
0.7999999999999999,18,0.9923969438871344,0.9718713152704092,4.397009180993118e-12,0.9793171182719412
0.7999999999999999,19,0.9774373025236212,0.9494258843405792,4.2491220840972266e-11,0.9713419795707701
0.8499999999999999,0,0.9882912483209949,0.9616447570910756,2.7367248423074227e-12,0.9730378152430652
0.8499999999999999,1,0.9635920129959388,0.938924640226275,5.1789019317625646e-12,0.9744006047809135
0.8499999999999999,2,0.9108797271687037,0.9788792863676309,1.5641991962107215e-11,1.0746526211635166
0.8499999999999999,3,0.9757958658593529,0.9002159024837675,3.221983639163495e-13,0.9225453129892623
