K_base,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,Kij_mean_final,Kij_std_final,Kij_density_weak,Kij_density_strong,reorganization_score,adaptive_network_score,adaptive_reorganization_score
0.5,12,0.1031050123414833,0.0570556777837121,0.0521739130434782,0.2262541188044815,0,0.948695652173913,0.0369565217391304,0.5273913043478261,0.5173651953401659,0.1533249987166866,0.0134231568343511,0.0,0.0004289846640858,0.0793250179115892,0.0004630138802482
0.5,13,0.1020441025871157,0.0432390838644659,0.0743478260869565,0.2623360951967918,0,0.9256521739130434,0.0482608695652173,0.3782608695652174,0.5148933595642265,0.145666582689394,0.0128072477666178,0.0,0.0009412857327234,0.0750027561371823,0.0010118847569903
0.5,14,0.135219701660363,0.0765347502497338,0.1126086956521739,0.3525277342318565,0,0.8982608695652174,0.0591304347826086,0.4330434782608696,0.525169547133588,0.1648443299484358,0.0149913922014601,0.0,0.0021207642351465,0.0865712221065598,0.002304361386783
0.5,15,0.1317834139731418,0.0414482285091165,0.0543478260869565,0.2323851018003356,0,0.9469565217391304,0.0395652173913043,0.3660869565217391,0.5183751747460085,0.1510726533397779,0.0136362489593057,0.0,0.0004877012221917,0.0783123130743505,0.0005258942329908
0.5,16,0.094269279469902,0.0393454302977166,0.0443478260869565,0.205866695723999,0,0.9556521739130436,0.028695652173913,0.6995652173913044,0.514166811496947,0.1464642305387708,0.0130424352612906,0.0,0.0002619838646333,0.0753070464144735,0.0002817130956871
0.5,17,0.1044749163587581,0.0464261880192712,0.0482608695652173,0.2163361348721424,0,0.9521739130434784,0.0313043478260869,0.5130434782608696,0.5152562192231201,0.154204270150389,0.015574671264542,0.0,0.0003238907831607,0.0794547092257501,0.0003496254311576
0.5,18,0.1940419704704475,0.0591853052774319,0.14,0.3781649053682452,0,0.871304347826087,0.0908695652173913,0.1869565217391304,0.5368760020535682,0.1916212331073859,0.0123321767989138,0.0,0.0044224563257383,0.1028768415392682,0.0048774246643756
0.5,19,0.1367980414324327,0.0508860559549921,0.0626086956521739,0.2475834052053596,0,0.938695652173913,0.0413043478260869,0.4582608695652174,0.5203655893868192,0.1529258976482896,0.0129858690591536,0.0,0.0006269148947102,0.0795773748622606,0.0006768031362933
0.6,0,0.1203014481917283,0.0664044096881985,0.0595652173913043,0.2366795349590475,0,0.9404347826086956,0.0417391304347826,0.3934782608695652,0.617236021710606,0.1572949393892412,0.0092010659158328,0.003921765800191,0.0005884327633949,0.0970881026238261,0.0006455625839146
0.6,1,0.4965258050299279,0.0279726405862591,1.9639130434782608,1.1699135573062645,2,0.3369565217391304,0.4534782608695652,0.0865217391304347,0.8026678487959648,0.3681251697142851,0.0183982819897773,0.0295879538347545,0.3517646995304128,0.2954822380622147,0.4557049202189416
0.6,2,0.1310846454881272,0.0718592856684257,0.0634782608695652,0.2491133615820608,0,0.9378260869565216,0.037391304347826,0.5591304347826087,0.6238532119212473,0.182209694683191,0.0066352497643732,0.0061074458058435,0.0005791297169507,0.1136721032712985,0.0006449606099434
0.6,3,0.2087379652917056,0.1153593755211225,0.28,0.5889120403798412,0,0.7834782608695652,0.1256521739130434,0.2330434782608695,0.6498935708667984,0.197908974864182,0.0030102725550942,0.005017120925157,0.0160221926937783,0.1286197703810707,0.0180829634390533
0.6,4,0.3555510170238944,0.0598948771173397,0.6182608695652174,0.7770717172090362,0,0.5417391304347826,0.2369565217391304,0.0865217391304347,0.709312022392317,0.3003672578246703,0.0049779315879225,0.0235981542782626,0.0843805875992748,0.2130541071080514,0.102358218347491
0.6,5,0.1388525282093491,0.0657650032671904,0.11,0.3446296058341351,0,0.9004347826086957,0.0591304347826086,0.4669565217391304,0.62209177823184,0.1745310940312741,0.0102245892579008,0.0051750992312716,0.0020289498347097,0.1085743586426637,0.0022492417617315
0.6,6,0.1764313909308393,0.0590953508320815,0.108695652173913,0.3289152705462118,0,0.8969565217391304,0.0626086956521739,0.2908695652173913,0.6300246837291947,0.1761490860090793,0.0067781292363307,0.004631721644826,0.0021219698549135,0.1109782722020569,0.0023574624030767
0.6,7,0.5056862411196344,0.0332290884212627,1.9134782608695653,1.2839785610280197,2,0.2939130434782608,0.4352173913043478,0.0865217391304347,0.8120173514661907,0.3777141579455146,0.0127020785219399,0.0402274324731398,0.3945683117369623,0.3067104501461992,0.5155865362432318
0.6,8,0.2344007735443994,0.0831908310898362,0.26,0.5023942674832188,0,0.768695652173913,0.1326086956521739,0.0865217391304347,0.6560126675673505,0.2331885105823925,0.0055238908278303,0.0121651141185627,0.0154099233377233,0.1529746168732127,0.0177672504563572
0.6,9,0.2646325628033921,0.0519040227702676,0.3726086956521739,0.6226431554709491,0,0.6982608695652174,0.1673913043478261,0.1478260869565217,0.6615077084081642,0.2549949355356374,0.0090328902736249,0.0124374984296087,0.0314487761255474,0.168681115461867,0.0367535907623153
0.6,10,0.3789257715465298,0.045255872559696,0.9786956521739132,0.9150804400271196,1,0.3978260869565217,0.3182608695652174,0.0865217391304347,0.7270462818428647,0.3390133607131113,0.0176929944795845,0.0284446009330633,0.1753736965261404,0.2464784034015214,0.2185995252445265
0.6,11,0.5708532366026272,0.0277376414445926,3.266086956521739,1.381422515507695,3,0.2821739130434783,0.5404347826086957,0.0865217391304347,0.8688083324341525,0.3841192231981904,0.0134082556724823,0.0362988698935116,0.5359065447283475,0.3337259817627218,0.7147524825008833
0.6,12,0.3028656105320481,0.0784678993159336,0.5360869565217391,0.7649963860695245,0,0.6043478260869565,0.1982608695652173,0.1334782608695652,0.6855573527459741,0.2890153803908992,0.0079017672365136,0.0178855874274103,0.0600081100122017,0.1981366190836556,0.0718979140476194
0.6,13,0.3028450119933387,0.0474896686776289,0.4673913043478261,0.6661225725521663,0,0.6160869565217392,0.2030434782608695,0.0969565217391304,0.674933356698974,0.2663284180743422,0.0098423219845334,0.0121397007130661,0.0519249473521762,0.1797539331952435,0.0612586608696858
0.6,14,0.4169433357171119,0.058361142059252,1.1269565217391304,1.025952091357981,1,0.3634782608695652,0.3382608695652174,0.0865217391304347,0.7420039724707482,0.318579289666949,0.0086377654639821,0.0204473083770027,0.2208981527210955,0.2363870984797853,0.2731156261023797
0.6,15,0.2025823362285111,0.0653421117378567,0.1508695652173913,0.3882224042487509,0,0.8604347826086957,0.0834782608695652,0.2360869565217391,0.6365500777043479,0.188653783623422,0.0071350509377316,0.0047232027334279,0.0045230479216037,0.1200875806247085,0.0050662098035587
0.6,16,0.2389195778309245,0.0468788893048626,0.2130434782608695,0.4381823601177214,0,0.7991304347826087,0.1191304347826087,0.0965217391304347,0.6547334628465578,0.2536739956021585,0.0143821580780206,0.0129741146298228,0.0104855631508874,0.1660888535747237,0.0122270983137037
0.6,17,0.3230857745751497,0.0479212352117907,0.4917391304347826,0.6993298169080417,0,0.6073913043478261,0.2221739130434782,0.0865217391304347,0.6872972047035046,0.2825271962139596,0.0132427886425827,0.0133055506740642,0.0610007290846439,0.194180152210573,0.072845859943256
0.6,18,0.308823208044423,0.0569592300972224,0.5143478260869565,0.7548470970246745,0,0.611304347826087,0.21,0.0865217391304347,0.6832519850962973,0.274101449170952,0.0109615529494487,0.0159463599608246,0.0616152150740198,0.1872803592638248,0.0731545346892001
0.6,19,0.1476328702077859,0.0786156831954936,0.1034782608695652,0.3130301929548063,0,0.8991304347826087,0.0539130434782608,0.4030434782608695,0.6242783446455705,0.1734930002802354,0.0085751233537144,0.0059385554118695,0.0017023162113339,0.1083079230225389,0.0018866905445111
0.7,0,0.1863436391559438,0.0819350348327242,0.2534782608695652,0.5171923256403977,0,0.7843478260869565,0.1130434782608695,0.2269565217391304,0.7359904399075734,0.2304786244541916,0.0027342623135872,0.0190394962936948,0.0126081517778069,0.1696300642013329,0.0147468733733364
0.7,1,0.7989450864928155,0.0309136471687159,8.675217391304347,1.9622953940756696,8,0.2034782608695652,0.5565217391304348,0.0865217391304347,1.237471520210396,0.3646052448570909,0.0010526315789473,0.2932205513784461,0.869849568158792,0.4511886066299879,1.262315782794054
0.7,2,0.4674405702664784,0.0467566069440578,1.6860869565217391,1.1503033215500154,1,0.328695652173913,0.4169565217391304,0.0865217391304347,0.8996234706998014,0.3993181476574158,0.0103732878430585,0.1339872560333149,0.3219753366901283,0.3592359779089801,0.4376404616285796
0.7,3,0.6123888764424648,0.0455273083210679,4.179565217391304,1.4982365815992962,4,0.2726086956521739,0.5604347826086956,0.0865217391304347,1.012671051827906,0.3938966399586278,0.0062544652369552,0.1301655741197999,0.6107642153637433,0.3988877246983817,0.8543905635573792
