K_base,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,Kij_mean_final_mean,Kij_mean_final_std,Kij_std_final_mean,Kij_std_final_std,Kij_density_weak_mean,Kij_density_weak_std,Kij_density_strong_mean,Kij_density_strong_std,reorganization_score_mean,reorganization_score_std,adaptive_network_score_mean,adaptive_network_score_std,adaptive_reorganization_score_mean,adaptive_reorganization_score_std
1.2,0.9659068205261704,0.004735665390743595,0.006318075874762305,0.0008371264920983521,3.129413043478261,1.0634469317643158,0.5339159649576497,0.2635950859496397,0.6612173913043479,0.1987946766148504,0.01519565217391299,0.01598581290729482,0.42741304347826087,0.31244178365308495,2.0636569729641723,0.014783912762505739,0.12236810067376572,0.019162998438820654,0.0,0.0,0.9906986215538847,0.005426550088564872,0.005285338346460765,0.007970158506129808,0.2523299843125123,0.03818938767860124,0.006826373569577745,0.010435751170947603
1.3,0.9726873843135275,0.0029477491689548878,0.00489334226401727,0.0005827614250572425,2.2275652173913043,0.8923269838042953,0.4018566857392048,0.3320882303591338,0.7599130434782608,0.21969052318549084,0.0039565217391304055,0.006029311878744616,0.7682608695652174,0.2708088607501423,2.181142706739958,0.012745928736006782,0.0948506166627197,0.013415841488351067,0.0,0.0,0.997546992481203,0.0023030417381536944,0.00124256427688294,0.002440775444131815,0.20679893124688448,0.028671757407601257,0.0015299628509460278,0.0030061001405081804
1.4,0.9770126585722428,0.002315426858232981,0.003851182938725505,0.00042418662496147554,1.7064782608695652,0.6320155656755563,0.1591362085907054,0.20498710998557945,0.9201086956521738,0.12815450540653822,0.001195652173913025,0.003122144501768199,0.9140869565217391,0.17400394649456088,2.2932815118598184,0.011880279290903966,0.07744462312494274,0.01145654613630194,0.0,0.0,0.9993364661654136,0.001504789445178621,0.00012881120864963728,0.0004407868463674829,0.17753600828946453,0.02580907153344285,0.00015720895543045956,0.0005393577080669294
1.5,0.9800816322093502,0.0018683118815079663,0.00312789612245077,0.00032359050966652964,1.5674565217391305,0.5643456624831151,0.13071623741293922,0.2102005823258241,0.9079565217391303,0.16852252906276738,0.000347826086956505,0.0010612521349429485,0.962391304347826,0.08237501574858812,2.4029058068083136,0.009914990566309179,0.06593971517538252,0.008416854854522041,0.0,0.0,0.9998721804511279,0.0005569504169725407,7.748462135741435e-05,0.0002856109072758464,0.15841005855695797,0.019947157839618077,9.360896331532633e-05,0.0003478884385842103
1.6,0.9824551131724573,0.0015494418880163388,0.00259084607305227,0.00025082290244267467,1.4310652173913043,0.48520509804149436,0.10770947364232437,0.1852525243222452,0.9362391304347826,0.127698318357729,0.00013043478260868,0.00020441841129633512,0.981108695652174,0.032714085983702505,2.510639651390867,0.008556919465706359,0.05699706874742631,0.005137985757668084,0.0,0.0,1.0,0.0,1.2389075169503329e-05,2.6243788285069424e-05,0.14307274296944467,0.01260604672269172,1.4139734818519774e-05,2.9897553290250572e-05
1.7,0.9842956871409541,0.001340840975668057,0.002189726684085485,0.00019957885257584367,1.3382391304347825,0.447367130017392,0.07985706334475479,0.16959949398651686,0.9481521739130436,0.1275546921231773,8.695652173911999e-05,0.0001784310177539184,0.9847173913043479,0.03145915036167475,2.6166923966490447,0.007263804788255958,0.05103581969101963,0.004206096870107243,0.0,0.0,1.0,0.0,1.0213920407851907e-05,2.683361129348672e-05,0.13352618619555484,0.010773502140919421,1.1499807585491125e-05,3.0081486488197192e-05
1.8,0.9858263944883203,0.0011802107415962025,0.001872582419841741,0.00016281482574078023,1.2659130434782608,0.3997387565961329,0.11112208439374287,0.18079840269906913,0.9406086956521739,0.11453429905983728,0.00013043478260869567,0.00020441841129635968,0.9765869565217391,0.03674289447632101,2.7220688320754003,0.0061551616159048516,0.045932657793149714,0.0035885782961550218,0.0,0.0,1.0,0.0,1.0880768764999783e-05,2.3264212377037065e-05,0.12501799961853194,0.009586793070992724,1.2257749825103439e-05,2.6298168672115606e-05
1.9,0.9871131735683101,0.001057277968917155,0.0016201562031900516,0.00013750639234008243,1.1617608695652173,0.2938327200913455,0.12349622285181758,0.2008460776383937,0.9206739130434782,0.1431228852509582,0.00013043478260869567,0.0002044184112963597,0.9779347826086957,0.035396998007085886,2.8265242860912743,0.005424055810578124,0.04169187412784428,0.0032161066836759876,0.0,0.0,1.0,0.0,1.56730049866172e-05,2.9617013149684027e-05,0.1178319946380818,0.008942961143899862,1.7479154007992665e-05,3.296783403294593e-05
2.0,0.9882107838037607,0.000954316778748049,0.001415607641951365,0.0001174964591432532,1.081913043478261,0.15236767004498633,0.1150026404704686,0.20499699083803935,0.9180869565217391,0.1523676700449863,0.00010869565217391305,0.00019315724274753015,0.980108695652174,0.03534777542279802,2.9302685887181945,0.0048500803618804,0.038191936090000246,0.0028934916885730304,0.0,0.0,1.0,0.0,1.6670744378531797e-05,3.1692857190248044e-05,0.11190341908267139,0.00835212341812792,1.852351213358737e-05,3.523147897178263e-05
2.1,0.9891584720506655,0.0008686759970593612,0.0012396768617015626,0.00010201246113894433,1.006391304347826,0.01807803203516496,0.029144694485225615,0.0739172216937097,0.9936086956521739,0.018078032035165004,6.521739130434783e-05,0.00015928154284022752,0.9941304347826087,0.016989933637026007,2.9951738289357186,0.0011134730556657338,0.01886936556317528,0.0027987382025381393,0.0,0.0,1.0,0.0,6.147624792724242e-07,1.9517361537345153e-06,0.056514229543970396,0.00836260128912048,6.461212883804023e-07,2.050976770036407e-06
2.2,0.9899100329773833,0.000798924597625373,0.0010094982064174259,8.755139889009022e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.9997240835173375,0.0001326579961894022,0.004403261607459864,0.0013956128655003865,0.0,0.0,1.0,0.0,0.0,0.0,0.013208396548247453,0.004185820787213948,0.0,0.0
