init_kind,K,R_mean_mean,R_mean_std,cluster_mean_mean,cluster_mean_std,cluster_final_mean,single_cluster_fraction_mean,multi_cluster_fraction_mean
three_clusters,0.95,0.8930555955900037,0.009680719484588875,1.066675,0.10901113837344191,1.05,0.933325,0.066675
three_clusters,0.975,0.899931517029106,0.008929766677276789,1.072975,0.12193165417344942,1.15,0.9270250000000001,0.072975
three_clusters,1.0,0.9061009506950496,0.008273299421924197,1.0590249999999999,0.10947812506807493,1.15,0.9431750000000001,0.056825
three_clusters,1.025,0.9116658107250517,0.007694760887041255,1.0535,0.10083741473543596,1.05,0.9465,0.053500000000000006
three_clusters,1.05,0.9167089305322869,0.007181301272995251,1.047475,0.09341270552034968,1.05,0.952525,0.047475
three_clusters,1.075,0.921298454363477,0.006722773244324944,1.0429249999999999,0.08258158246944593,1.0,0.957075,0.042925000000000005
three_clusters,1.1,0.9254910349701069,0.006311044401695497,1.03615,0.07369855029638964,1.0,0.9638500000000001,0.03615
three_clusters,1.125,0.9293342092274928,0.005939513712594392,1.0268000000000002,0.06728130263461404,1.05,0.9732,0.0268
three_clusters,1.15,0.9328681940096397,0.005602763320013042,1.0225,0.06274363041691748,1.05,0.9797499999999999,0.020249999999999997
three_clusters,1.175,0.9361272646156003,0.0052963026889781915,1.01905,0.05588778700970458,1.05,0.98095,0.01905
three_clusters,1.2,0.9391408270844822,0.005016377252756219,1.0151,0.04712458292430264,1.0,0.9849,0.015099999999999999
two_clusters,0.4,0.11647799477440383,0.04337338654593433,0.0026,0.004333468283998517,0.0,1.0,0.0
two_clusters,0.425,0.131614836560607,0.050077634131203565,0.004775,0.00567421452945831,0.0,0.9999499999999999,5e-05
two_clusters,0.45,0.15444383339505274,0.05860035809739472,0.00485,0.00762803002781604,0.0,1.0,0.0
two_clusters,0.475,0.18645410367115958,0.06713092843818004,0.01085,0.01442959312990969,0.0,0.9999499999999999,5e-05
two_clusters,0.5,0.21279747783180175,0.07858178457909304,0.029075,0.05685722538910397,0.05,0.996975,0.003025
two_clusters,0.525,0.2709280888878288,0.07741480226790913,0.10487500000000001,0.15505464868538243,0.35,0.9822,0.017800000000000003
two_clusters,0.55,0.3198313393455763,0.0909375690616223,0.307475,0.34010569080956676,0.35,0.9286749999999999,0.071325
two_clusters,0.575,0.3708299463018401,0.07487924533547076,0.6582,0.4306413026858285,0.95,0.81785,0.18214999999999998
two_clusters,0.6,0.41255494070260995,0.07440164965192822,1.1208,0.7405335629765453,1.3,0.664825,0.335175
two_clusters,0.625,0.4650164370473516,0.08826515874023574,1.63645,0.628752961696488,1.45,0.47175,0.52825
two_clusters,0.65,0.5324853170229908,0.11160322300052994,2.0273250000000003,0.805264001741044,2.05,0.400575,0.599425
two_clusters,0.675,0.6280609898824944,0.10126505424587133,1.79785,0.668819661398859,1.8,0.5359499999999999,0.46405
two_clusters,0.7,0.7108263925031819,0.04569849869173572,1.1793749999999998,0.25522868357818373,1.15,0.858,0.142
two_clusters,0.725,0.753776440786953,0.03219228392887029,1.007625,0.03086766107109506,1.0,0.992375,0.007625000000000002
two_clusters,0.75,0.7841397071232635,0.02550767371968698,1.0032,0.01431083505599865,1.0,0.9968,0.0032
two_clusters,0.775,0.807567723395124,0.02124725567466707,1.010825,0.03920099186446559,1.0,0.989175,0.010825
two_clusters,0.8,0.8264408605613071,0.018246727423601936,1.0227249999999999,0.06951400370088252,1.05,0.977275,0.022725000000000002
two_clusters,0.825,0.8420932964430745,0.015985437975731584,1.027925,0.08413871300605799,1.0,0.972075,0.027925
two_clusters,0.85,0.8553434361619271,0.014205115772634043,1.0367250000000001,0.09145195387973426,1.05,0.963275,0.036725
two_clusters,0.875,0.866732962888553,0.012760160100729508,1.0508250000000001,0.09753167838950422,1.15,0.9500249999999999,0.049975000000000006
two_clusters,0.9,0.8766414308466774,0.011560796039177113,1.0604,0.10929482098771576,1.05,0.9396000000000001,0.060399999999999995
two_clusters,0.925,0.8853460170362919,0.010547937209758737,1.0545,0.0889435066118997,1.05,0.9455,0.05450000000000001
two_clusters,0.95,0.8930555955900232,0.009680719484591436,1.06735,0.11037485173143755,1.05,0.93265,0.06735
two_clusters,0.975,0.8999315170291082,0.008929766677276747,1.072775,0.12011501889088595,1.1,0.927225,0.072775
two_clusters,1.0,0.9061009506950499,0.008273299421924115,1.05995,0.11049373642643139,1.1,0.9422,0.0578
two_clusters,1.025,0.9116658107250517,0.007694760887041219,1.053325,0.10070648792667886,1.05,0.9466749999999999,0.053325
two_clusters,1.05,0.9167089305322869,0.007181301272995255,1.046475,0.09146921757158469,1.05,0.953525,0.046475
two_clusters,1.075,0.921298454363477,0.006722773244324933,1.04285,0.08259398155721569,1.0,0.9571500000000001,0.04285
two_clusters,1.1,0.9254910349701069,0.006311044401695514,1.036125,0.07384387424260654,1.0,0.963875,0.036125000000000004
two_clusters,1.125,0.9293342092274928,0.005939513712594361,1.027,0.06738381814180924,1.05,0.9730000000000001,0.027000000000000003
