seed,K,init_kind,R_mean,R_std,cluster_mean,cluster_std,cluster_final,single_cluster_fraction,multi_cluster_fraction
6,0.475,random,0.13310253435947283,0.04914498671147584,0.0005,0.022355088906108163,0,1.0,0.0
6,0.5,random,0.17280840709247647,0.04135114272724962,0.003,0.054690035655501276,0,1.0,0.0
6,0.525,random,0.21133771618007585,0.07538626569219736,0.016,0.125475097130865,0,1.0,0.0
6,0.55,random,0.22851137059982204,0.0536152169331852,0.0185,0.13475069573104254,0,1.0,0.0
6,0.575,random,0.2942016283381759,0.07553210848567984,0.105,0.33312910410229846,0,0.9915,0.0085
6,0.6,random,0.3406720570044434,0.12914559647744828,0.582,0.9483016397750244,1,0.823,0.177
6,0.625,random,0.3748346051966167,0.14281161987933963,0.784,1.0422782737829663,0,0.774,0.226
6,0.65,random,0.4192811232699011,0.13657083836701245,1.4625,1.174135320139889,2,0.5065,0.4935
6,0.675,random,0.4141363977071007,0.10018839656772337,2.2235,1.23310492254309,3,0.303,0.697
6,0.7,random,0.6356437927090578,0.005586716898352899,1.7265,0.8352830358626949,2,0.479,0.521
6,0.725,random,0.7113641264927666,0.001005686236799935,1.0,0.0,1,1.0,0.0
6,0.75,random,0.7544098462253492,0.00012447438237802355,1.0,0.0,1,1.0,0.0
6,0.775,random,0.784736738816709,7.839454423653098e-06,1.0,0.0,1,1.0,0.0
6,0.8,random,0.807904475200936,4.68190949002549e-07,1.0,0.0,1,1.0,0.0
6,0.825,random,0.8265080986633189,2.661414451934014e-08,1.0,0.0,1,1.0,0.0
6,0.85,random,0.8419213000887751,1.4547149833568572e-09,1.0,0.0,1,1.0,0.0
6,0.875,random,0.8549695391029457,7.866926818945678e-11,1.0,0.0,1,1.0,0.0
6,0.9,random,0.866193081984904,4.490006247456661e-12,1.0185,0.1347506957310425,1,0.9815,0.0185
6,0.925,random,0.8759672650646373,3.4315371329093247e-13,1.049,0.21586801523152982,1,0.951,0.049
6,0.95,random,0.8845644976070702,4.9919059043627084e-14,1.071,0.2568248430350927,1,0.929,0.071
