replication,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
lower_noise,0.7,0.8077478495999303,0.022309885124174766,0.00029893712144885324,0.00046308151921526226,1.4603,0.5627250759572664,0.19863680610724943,0.23540454366310443,0.85185,0.22254975099214708,0.00485,0.006724953531437968,0.7087,0.417428783014407,0.0010687252225056827,0.0017165082552623228
lower_noise,0.725,0.8297788597868193,0.017991347475711697,8.240055867339242e-05,0.00018255120170214425,1.66175,0.6630328988820993,0.06886598151776288,0.16139341715060798,0.9538499999999999,0.13264238680669835,0.0016,0.004402019738458447,0.8994500000000001,0.28300416663599376,0.00029332222787463734,0.0009221723113170341
lower_noise,0.75,0.8473202249878129,0.015077481945925906,1.4111286501558129e-05,3.4129246856744415e-05,1.69865,0.6742950248634165,0.011540255629751014,0.036493492570594005,0.9986499999999999,0.0042690748412273025,0.0001,0.00031622776601683794,0.9977,0.0072732386183872845,1.5579360679508918e-07,4.926626423651672e-07
lower_noise,0.775,0.8617308747737656,0.012965285715406607,2.491738294014238e-06,6.325663038118861e-06,1.9,0.7378647873726218,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lower_noise,0.8,0.8738348790773734,0.011350551752891864,4.497590608339473e-07,1.1879492822067287e-06,1.8,0.7888106377466155,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lower_noise,0.825,0.8841719550386221,0.01007107198136762,8.24487837364033e-08,2.239016466255225e-07,1.9,0.7378647873726218,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lower_noise,0.85,0.8931155129533106,0.0090300233937522,1.5441400196066403e-08,4.228923972486145e-08,1.9,0.7378647873726218,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lower_noise,0.875,0.9009351995831988,0.008165488791516459,3.0034819025835657e-09,7.97897734252891e-09,1.9,0.7378647873726218,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lower_noise,0.9,0.9078322296507931,0.007435777159842636,6.259278312443064e-10,1.4968757409814719e-09,1.8,0.6324555320336759,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
smaller_N,0.4,0.10701970470293054,0.023975894190351385,0.05051222474354622,0.008351201083011949,0.3198,0.058470885442623875,0.5587069673666949,0.054747142146730245,0.7262500000000001,0.043896500746389504,0.1512,0.02122917280012996,0.10075,0.0029368350311176805,0.0240748553510854,0.008633083644157708
