seed,K,outsider_fraction,local_boost,R,state
5,0.525,0.05,1.0,0.9048097233430699,dual_cluster
5,0.55,0.05,1.0,0.8727298787968256,dual_cluster
5,0.575,0.05,1.0,0.9235018242111315,dual_cluster
5,0.6,0.05,1.0,0.913894473868991,dual_cluster
5,0.625,0.05,1.0,0.9140751834314895,dual_cluster
5,0.65,0.05,1.0,0.9185304627676621,dual_cluster
5,0.675,0.05,1.0,0.9226853002128877,dual_cluster
5,0.7,0.05,1.0,0.9265871681784726,dual_cluster
5,0.725,0.05,1.0,0.9302629219266141,dual_cluster
5,0.75,0.05,1.0,0.9337318895898998,dual_cluster
5,0.7749999999999999,0.05,1.0,0.9370082150035269,dual_cluster
5,0.8,0.05,1.0,0.9401026623245579,dual_cluster
5,0.825,0.05,1.0,0.9430239663145616,dual_cluster
5,0.85,0.05,1.0,0.9457797887905374,dual_cluster
5,0.875,0.05,1.0,0.948377343035235,dual_cluster
5,0.8999999999999999,0.05,1.0,0.9508237543465683,dual_cluster
5,0.9249999999999999,0.05,1.0,0.9531262266089052,dual_cluster
5,0.95,0.05,1.0,0.9552920791169113,dual_cluster
5,0.975,0.05,1.0,0.9573287066594295,dual_cluster
5,1.0,0.05,1.0,0.9592435023807062,dual_cluster
5,1.025,0.05,1.0,0.9610437700423212,dual_cluster
5,1.0499999999999998,0.05,1.0,0.9627366416804967,dual_cluster
5,1.075,0.05,1.0,0.9643290088304187,dual_cluster
5,1.1,0.05,1.0,0.9658274702776476,dual_cluster
5,1.125,0.05,1.0,0.9672382961656144,dual_cluster
5,1.15,0.05,1.0,0.9685674066432134,dual_cluster
5,1.1749999999999998,0.05,1.0,0.9698203625604649,dual_cluster
5,1.2,0.05,1.0,0.9710023656211516,dual_cluster
6,0.4,0.05,1.0,0.9046450210423145,absorbed
6,0.42500000000000004,0.05,1.0,0.8632030000204448,dual_cluster
6,0.45,0.05,1.0,0.843400620930582,dual_cluster
6,0.47500000000000003,0.05,1.0,0.9102878895954216,dual_cluster
6,0.5,0.05,1.0,0.9116919361322655,fragmented
6,0.525,0.05,1.0,0.8764986084812112,dual_cluster
6,0.55,0.05,1.0,0.9250971719175011,dual_cluster
6,0.575,0.05,1.0,0.9450232192962401,dual_cluster
6,0.6,0.05,1.0,0.93473442458781,dual_cluster
6,0.625,0.05,1.0,0.914160034554067,dual_cluster
6,0.65,0.05,1.0,0.9165593770585981,dual_cluster
6,0.675,0.05,1.0,0.9208062652356866,dual_cluster
6,0.7,0.05,1.0,0.9247998250065892,dual_cluster
6,0.725,0.05,1.0,0.9285685847480079,dual_cluster
6,0.75,0.05,1.0,0.9321322749164549,dual_cluster
6,0.7749999999999999,0.05,1.0,0.9355044402747281,dual_cluster
6,0.8,0.05,1.0,0.9386946783762881,dual_cluster
6,0.825,0.05,1.0,0.9417103500168799,dual_cluster
6,0.85,0.05,1.0,0.9445577980479828,dual_cluster
6,0.875,0.05,1.0,0.9472431323127068,dual_cluster
6,0.8999999999999999,0.05,1.0,0.9497726627459857,dual_cluster
6,0.9249999999999999,0.05,1.0,0.952153074103,dual_cluster
6,0.95,0.05,1.0,0.95439143148429,dual_cluster
6,0.975,0.05,1.0,0.9564950904565939,dual_cluster
6,1.0,0.05,1.0,0.9584715658022311,dual_cluster
6,1.025,0.05,1.0,0.960328394038408,dual_cluster
6,1.0499999999999998,0.05,1.0,0.962073009636404,dual_cluster
6,1.075,0.05,1.0,0.9637126440769412,dual_cluster
6,1.1,0.05,1.0,0.9652542500295637,dual_cluster
6,1.125,0.05,1.0,0.9667044490970423,dual_cluster
6,1.15,0.05,1.0,0.9680694997568621,dual_cluster
6,1.1749999999999998,0.05,1.0,0.969355281575948,dual_cluster
6,1.2,0.05,1.0,0.9705672919113201,dual_cluster
7,0.4,0.05,1.0,0.8382674442032761,dual_cluster
7,0.42500000000000004,0.05,1.0,0.8396528535266942,dual_cluster
7,0.45,0.05,1.0,0.8539710743399457,dual_cluster
7,0.47500000000000003,0.05,1.0,0.8775787701341756,dual_cluster
7,0.5,0.05,1.0,0.9046648478805484,dual_cluster
7,0.525,0.05,1.0,0.9254017863614049,dual_cluster
7,0.55,0.05,1.0,0.9293840166091855,dual_cluster
7,0.575,0.05,1.0,0.910034868753126,dual_cluster
7,0.6,0.05,1.0,0.8900276542693834,dual_cluster
7,0.625,0.05,1.0,0.9110075712281889,dual_cluster
7,0.65,0.05,1.0,0.9154640693969862,dual_cluster
7,0.675,0.05,1.0,0.9199336503994426,dual_cluster
7,0.7,0.05,1.0,0.9241377623094805,dual_cluster
7,0.725,0.05,1.0,0.9281026872841853,dual_cluster
7,0.75,0.05,1.0,0.931845939235756,dual_cluster
7,0.7749999999999999,0.05,1.0,0.9353793929476755,dual_cluster
7,0.8,0.05,1.0,0.938711743722626,dual_cluster
7,0.825,0.05,1.0,0.9418502726850686,dual_cluster
7,0.85,0.05,1.0,0.9448019824578812,dual_cluster
7,0.875,0.05,1.0,0.9475742136150859,dual_cluster
7,0.8999999999999999,0.05,1.0,0.9501748791872568,dual_cluster
7,0.9249999999999999,0.05,1.0,0.9526124529779594,dual_cluster
7,0.95,0.05,1.0,0.954895824664947,dual_cluster
7,0.975,0.05,1.0,0.95703410305913,dual_cluster
7,1.0,0.05,1.0,0.9590364185294457,dual_cluster
7,1.025,0.05,1.0,0.9609117516668256,dual_cluster
7,1.0499999999999998,0.05,1.0,0.962668798926075,dual_cluster
7,1.075,0.05,1.0,0.9643158761992718,dual_cluster
7,1.1,0.05,1.0,0.9658608562432006,dual_cluster
7,1.125,0.05,1.0,0.9673111338976864,dual_cluster
7,1.15,0.05,1.0,0.9686736127844114,dual_cluster
7,1.1749999999999998,0.05,1.0,0.9699547077913815,dual_cluster
