K,kick_strength,R_pre_mean_mean,R_pre_mean_std,R_post_mean_mean,R_post_mean_std,R_change_mean,R_change_std,cluster_change_mean,cluster_change_std,kick_distance_mean,kick_distance_std,recovery_similarity_mean,recovery_similarity_std,memory_loss_mean,memory_loss_std,core_overlap_mean,core_overlap_std,new_core_fraction_mean,new_core_fraction_std,irreversibility_score_mean,irreversibility_score_std,reversible_fraction,metastable_fraction,irreversible_fraction
0.45,0.8,0.15534253368271547,0.05370770065549708,0.1503435072619746,0.05689829654977495,0.03147465152983275,0.021685838117296043,0.05343333333333333,0.050735537218424186,0.27501336509577834,0.019574552190271165,0.19683331961025569,0.10939456891439067,0.8031666803897443,0.1093945689143907,0.7358333333333333,0.11307439459687721,0.26416666666666666,0.1130743945968772,1.0885603432722024,0.11056969445999663,0.0,0.0,1.0
0.45,0.9,0.15534253368271547,0.05370770065549708,0.15007438151604438,0.0590580876475249,0.029381810640953337,0.023697206951452984,0.043133333333333336,0.04660502194158306,0.33444530212872353,0.022826270986153873,0.19536355558617613,0.11203956730191061,0.8046364444138238,0.1120395673019106,0.7308333333333333,0.11924163388457064,0.26916666666666667,0.11924163388457062,1.0919318970740624,0.12061856988153245,0.0,0.0,1.0
0.45,1.0,0.15534253368271547,0.05370770065549708,0.15254740585074064,0.06048363152823518,0.025232991270002513,0.01984729130509417,0.042633333333333336,0.042546142821715906,0.3951348454840403,0.025739536121692618,0.20625741403923836,0.11585930131943636,0.7937425859607616,0.11585930131943636,0.7091666666666667,0.16784452217969764,0.29083333333333333,0.1678445221796976,1.1015425004449289,0.13933203502528668,0.0,0.0,1.0
0.5,0.0,0.22490298502346667,0.06835337834136249,0.2205863966424768,0.07805210152760529,0.014765624115697196,0.011294949447080134,0.0731,0.08222328037883987,0.0,0.0,0.3155870969604,0.17663825826558285,0.6844129030396,0.17663825826558288,0.55,0.20555160419783663,0.45,0.20555160419783666,1.1563793090685244,0.1966905715368276,0.0,0.05,0.95
0.5,0.1,0.22490298502346667,0.06835337834136249,0.21961132332345962,0.07772697508186781,0.014873110378098126,0.017497285588367797,0.0626,0.054109224602968596,0.0050052179181845294,0.0004168250027602328,0.31859726836544733,0.16380503728739038,0.6814027316345527,0.16380503728739038,0.545,0.16508902436234907,0.45499999999999996,0.16508902436234907,1.1557710092290772,0.18967087646895078,0.0,0.05,0.95
0.5,0.2,0.22490298502346667,0.06835337834136249,0.21988386832127516,0.08159411314858524,0.01802654456785958,0.02897136694982646,0.07646666666666666,0.07091188832933974,0.019872739028975683,0.0016425761674761924,0.3125320937347412,0.16552500785979835,0.6874679062652589,0.1655250078597984,0.5766666666666667,0.17674774703478216,0.42333333333333334,0.17674774703478213,1.1344245424072237,0.21681319181866926,0.0,0.05,0.95
0.5,0.3,0.22490298502346667,0.06835337834136249,0.2244883666090351,0.07535031148542783,0.015513112018038844,0.01711194789544178,0.06810000000000001,0.05101279509258334,0.04416520534539563,0.00360505536811447,0.3165223450746701,0.15433222541148392,0.68347765492533,0.15433222541148392,0.5183333333333333,0.2094897728107048,0.48166666666666663,0.2094897728107048,1.1860475995965065,0.21974713046734834,0.0,0.05,0.95
0.5,0.4,0.22490298502346667,0.06835337834136249,0.2237535800787597,0.0735736642635092,0.01789176570310441,0.012869361978513013,0.06316666666666668,0.049868540634645006,0.07717671473485552,0.006190316533703945,0.3087244476222262,0.16484973156981345,0.6912755523777738,0.16484973156981347,0.5291666666666667,0.21253654656489318,0.4708333333333333,0.21253654656489315,1.18237349380355,0.2347785489252701,0.0,0.1,0.9
0.5,0.5,0.22490298502346667,0.06835337834136249,0.21249270973050333,0.08335797946871422,0.027649801003605035,0.0316717811598403,0.0817,0.07066483777838603,0.11796585834561295,0.009251582888256739,0.2986781484669208,0.17021746278764596,0.7013218515330792,0.17021746278764596,0.5283333333333333,0.23107301192935809,0.4716666666666667,0.23107301192935809,1.200325968450647,0.24938449393035092,0.0,0.05,0.95
0.5,0.6,0.22490298502346667,0.06835337834136249,0.2176943399578039,0.07575552968103241,0.02130478102895707,0.02001857233142856,0.07256666666666665,0.05941440351488214,0.16539907327823805,0.012620482702679174,0.3023432979962174,0.16967016544988955,0.6976567020037826,0.16967016544988958,0.48,0.2505899471994575,0.52,0.2505899471994575,1.2411245639276884,0.2239181679765418,0.0,0.05,0.95
0.5,0.7,0.22490298502346667,0.06835337834136249,0.21463680468073756,0.07944013690157842,0.019379699427806315,0.01686342405392697,0.06703333333333333,0.05700701711193107,0.21820165710832762,0.016119513763978195,0.30097207341008325,0.17245869830596858,0.6990279265899166,0.17245869830596858,0.5016666666666667,0.23238529208323017,0.49833333333333335,0.23238529208323014,1.218964518113535,0.19724591625392887,0.0,0.05,0.95
0.5,0.8,0.22490298502346667,0.06835337834136249,0.2171653999624838,0.0767113484127833,0.023254850239697235,0.020263269513709485,0.07883333333333334,0.038772918142519916,0.27501336509577834,0.01957455219027117,0.3057441961666674,0.16275378924024242,0.6942558038333326,0.16275378924024245,0.46416666666666667,0.27552581309962687,0.5358333333333334,0.2755258130996269,1.2556111830599235,0.27833172678128654,0.0,0.1,0.9
0.5,0.9,0.22490298502346667,0.06835337834136249,0.2210238407776155,0.0752052545378548,0.020042893173349847,0.016808032239620886,0.09396666666666667,0.092201273601839,0.3344453021287236,0.022826270986153877,0.32127077433923085,0.149029416258847,0.6787292256607691,0.14902941625884697,0.47333333333333333,0.2705528236950351,0.5266666666666666,0.2705528236950351,1.23389828228744,0.26141829353151436,0.0,0.05,0.95
0.5,1.0,0.22490298502346667,0.06835337834136249,0.21833613083306397,0.0764839045388956,0.019371759297702306,0.017068012065260197,0.08953333333333333,0.09990313437180004,0.3951348454840403,0.025739536121692625,0.32405640046428963,0.15486510120187272,0.6759435995357104,0.1548651012018727,0.49333333333333335,0.24793887192315434,0.5066666666666666,0.24793887192315434,1.2098365393601358,0.2052367117020338,0.0,0.05,0.95
0.55,0.0,0.3138655296089821,0.08102126567633601,0.3232084256509526,0.08570140347522655,0.014795387647199393,0.015419444584430985,0.3041333333333333,0.27638430740567915,0.0,0.0,0.4993416322813499,0.16537974711500336,0.50065836771865,0.1653797471150034,0.38083333333333336,0.33670553015222027,0.6191666666666666,0.3367055301522202,1.1995572146304498,0.3051071127648594,0.0,0.1,0.9
0.55,0.1,0.3138655296089821,0.08102126567633601,0.3249649272246576,0.07522933270983077,0.01705945009403198,0.017455088005651844,0.2924666666666667,0.27172794271808187,0.005005217918184535,0.00041682500276023476,0.5080647359254078,0.14613022898938213,0.4919352640745922,0.14613022898938213,0.36083333333333334,0.3102665803421196,0.6391666666666667,0.3102665803421196,1.2084834599314336,0.26008904213665457,0.0,0.05,0.95
0.55,0.2,0.3138655296089821,0.08102126567633601,0.3211193546081597,0.07533973448685283,0.017185430031659437,0.016554351711987162,0.2788666666666667,0.2608216526727104,0.019872739028975683,0.0016425761674761924,0.5163032374748108,0.15245371070324254,0.48369676252518923,0.15245371070324254,0.39416666666666667,0.32875251538850464,0.6058333333333333,0.32875251538850464,1.1635431200331041,0.30961585739605874,0.0,0.1,0.9
0.55,0.3,0.3138655296089821,0.08102126567633601,0.3202664533415431,0.08012886052629607,0.014760286124110284,0.014152658030729773,0.24306666666666668,0.2590319721059534,0.04416520534539563,0.0036050553681144693,0.49610980908326124,0.17657038149162754,0.5038901909167388,0.17657038149162754,0.3975,0.3209213253681085,0.6025,0.3209213253681086,1.170846929114433,0.33122730587246874,0.0,0.1,0.9
