K,kick_strength,seed,R_pre_mean,R_post_mean,R_change,cluster_pre_mean,cluster_post_mean,cluster_change,cluster_pre_mode,cluster_post_mode,cluster_shift,kick_distance,recovery_similarity,memory_loss,core_overlap,new_core_fraction,irreversibility_score,regime
0.4,0.1,14,0.08839690794768372,0.07003007453423524,0.018366833413448483,0.04066666666666666,0.04666666666666667,0.006000000000000005,0,0,0,0.004485647838096685,0.060364281128358836,0.9396357188716412,0.85,0.15000000000000002,1.0957274272250035,irreversible
0.4,0.1,15,0.08545806964414503,0.11376452916394089,0.028306459519795865,0.058,0.054,0.0040000000000000036,0,0,0,0.0053028351034647425,0.1844204526129374,0.8155795473870626,0.8333333333333334,0.16666666666666663,0.9903228289336782,irreversible
0.4,0.1,16,0.08460491641213293,0.08534243927142784,0.0007375228592949173,0.048,0.043333333333333335,0.004666666666666666,0,0,0,0.0049821369432875295,0.054220640837423284,0.9457793591625767,0.9333333333333333,0.06666666666666665,1.0137970732107338,irreversible
0.4,0.1,17,0.12597026089492133,0.11329099737221854,0.012679263522702794,0.07266666666666667,0.07133333333333333,0.0013333333333333391,0,0,0,0.0051455148148101815,0.1413273125532444,0.8586726874467556,0.9,0.09999999999999998,0.9621758366607646,irreversible
0.4,0.1,18,0.0931473445238972,0.13212513079926616,0.038977786275368964,0.034666666666666665,0.05733333333333333,0.02266666666666667,0,0,0,0.005223089436370398,0.16874769268301434,0.8312523073169856,0.9,0.09999999999999998,0.9466634205524945,irreversible
0.4,0.1,19,0.11528260354457787,0.10239245080735009,0.01289015273722778,0.07066666666666667,0.04666666666666667,0.024,0,0,0,0.0047804830987612235,0.11566328524970006,0.8843367147503,0.8666666666666667,0.1333333333333333,1.0268925862679403,irreversible
0.4,0.2,0,0.09401153766645147,0.07683154300710808,0.01717999465934339,0.03666666666666667,0.024,0.012666666666666666,0,0,0,0.020193045814065447,0.027866608624411565,0.9721333913755884,0.85,0.15000000000000002,1.1295950567070911,irreversible
0.4,0.2,1,0.14217452722414173,0.12668540181802423,0.015489125406117493,0.10733333333333334,0.04733333333333333,0.060000000000000005,0,0,0,0.02209382812342442,0.24960975356391768,0.7503902464360823,0.7333333333333333,0.2666666666666667,1.0359291944542783,irreversible
0.4,0.2,2,0.10195446625585115,0.06386245833550595,0.0380920079203452,0.05466666666666667,0.02666666666666667,0.028,0,0,0,0.021078674462537306,0.11399434697330449,0.8860056530266955,0.9,0.09999999999999998,1.0025286550067818,irreversible
0.4,0.2,3,0.09355334649588794,0.09714609319359974,0.003592746697711799,0.04066666666666666,0.05533333333333333,0.014666666666666668,0,0,0,0.01660651766859711,0.1353011419666589,0.8646988580333411,0.8833333333333333,0.1166666666666667,0.9859303780411025,irreversible
