K,kick_strength,R_pre_mean_mean,R_pre_mean_std,R_post_mean_mean,R_post_mean_std,R_change_mean,R_change_std,cluster_change_mean,cluster_change_std,kick_distance_mean,kick_distance_std,recovery_similarity_mean,recovery_similarity_std,memory_loss_mean,memory_loss_std,core_overlap_mean,core_overlap_std,new_core_fraction_mean,new_core_fraction_std,irreversibility_score_mean,irreversibility_score_std,reversible_fraction,metastable_fraction,irreversible_fraction,baseline_irreversibility_score,baseline_recovery_similarity,baseline_memory_loss,baseline_R_change,baseline_cluster_change,baseline_irreversible_fraction,excess_irreversibility_score,excess_memory_loss,excess_R_change,excess_cluster_change,excess_irreversible_fraction,global_state_irreversibility,baseline_global_state_irreversibility,excess_global_state_irreversibility
0.5,0.8,0.2249029850234666,0.0683533783413624,0.2171653999624838,0.0767113484127833,0.0232548502396972,0.0202632695137094,0.0788333333333333,0.0387729181425199,0.2750133650957783,0.0195745521902711,0.3057441961666674,0.1627537892402424,0.6942558038333326,0.1627537892402424,0.4641666666666666,0.2755258130996268,0.5358333333333334,0.2755258130996269,1.2556111830599237,0.2783317267812865,0.0,0.1,0.9,1.1563793090685244,0.3155870969604,0.6844129030396,0.0147656241156971,0.0731,0.95,0.09923187399139932,0.009842900793732623,0.008489226124000101,0.005733333333333299,-0.04999999999999993,0.7255915622865146,0.7100707150974486,0.01552084718906599
0.5,0.9,0.2249029850234666,0.0683533783413624,0.2210238407776155,0.0752052545378548,0.0200428931733498,0.0168080322396208,0.0939666666666666,0.092201273601839,0.3344453021287236,0.0228262709861538,0.3212707743392308,0.149029416258847,0.6787292256607691,0.1490294162588469,0.4733333333333333,0.2705528236950351,0.5266666666666666,0.2705528236950351,1.23389828228744,0.2614182935315143,0.0,0.05,0.95,1.1563793090685244,0.3155870969604,0.6844129030396,0.0147656241156971,0.0731,0.95,0.07751897321891565,-0.005683677378830909,0.0052772690576527,0.020866666666666603,0.0,0.7122423389141107,0.7100707150974486,0.0021716238166621382
0.5,1.0,0.2249029850234666,0.0683533783413624,0.2183361308330639,0.0764839045388956,0.0193717592977023,0.0170680120652601,0.0895333333333333,0.0999031343718,0.3951348454840403,0.0257395361216926,0.3240564004642896,0.1548651012018727,0.6759435995357104,0.1548651012018727,0.4933333333333333,0.2479388719231543,0.5066666666666666,0.2479388719231543,1.2098365393601358,0.2052367117020338,0.0,0.05,0.95,1.1563793090685244,0.3155870969604,0.6844129030396,0.0147656241156971,0.0731,0.95,0.053457230291611424,-0.008469303503889636,0.0046061351820052,0.0164333333333333,0.0,0.7080128125178948,0.7100707150974486,-0.0020579025795537387
0.55,0.0,0.3138655296089821,0.081021265676336,0.3232084256509526,0.0857014034752265,0.0147953876471993,0.0154194445844309,0.3041333333333333,0.2763843074056791,0.0,0.0,0.4993416322813499,0.1653797471150033,0.50065836771865,0.1653797471150034,0.3808333333333333,0.3367055301522202,0.6191666666666666,0.3367055301522202,1.1995572146304498,0.3051071127648594,0.0,0.1,0.9,1.1995572146304498,0.4993416322813499,0.50065836771865,0.0147953876471993,0.3041333333333333,0.9,0.0,0.0,0.0,0.0,0.0,0.584089394875583,0.584089394875583,0.0
0.55,0.1,0.3138655296089821,0.081021265676336,0.3249649272246576,0.0752293327098307,0.0170594500940319,0.0174550880056518,0.2924666666666667,0.2717279427180818,0.0050052179181845,0.0004168250027602,0.5080647359254078,0.1461302289893821,0.4919352640745922,0.1461302289893821,0.3608333333333333,0.3102665803421196,0.6391666666666667,0.3102665803421196,1.2084834599314336,0.2600890421366545,0.0,0.05,0.95,1.1995572146304498,0.4993416322813499,0.50065836771865,0.0147953876471993,0.3041333333333333,0.9,0.008926245300983737,-0.008723103644057817,0.002264062446832601,-0.011666666666666603,0.04999999999999993,0.5735816557882749,0.584089394875583,-0.010507739087308066
0.55,0.2,0.3138655296089821,0.081021265676336,0.3211193546081597,0.0753397344868528,0.0171854300316594,0.0165543517119871,0.2788666666666667,0.2608216526727104,0.0198727390289756,0.0016425761674761,0.5163032374748108,0.1524537107032425,0.4836967625251892,0.1524537107032425,0.3941666666666666,0.3287525153885046,0.6058333333333333,0.3287525153885046,1.163543120033104,0.3096158573960587,0.0,0.1,0.9,1.1995572146304498,0.4993416322813499,0.50065836771865,0.0147953876471993,0.3041333333333333,0.9,-0.03601409459734595,-0.01696160519346085,0.0023900423844600994,-0.025266666666666604,0.0,0.5620061442076856,0.584089394875583,-0.022083250667897403
0.55,0.3,0.3138655296089821,0.081021265676336,0.3202664533415431,0.080128860526296,0.0147602861241102,0.0141526580307297,0.2430666666666666,0.2590319721059534,0.0441652053453956,0.0036050553681144,0.4961098090832612,0.1765703814916275,0.5038901909167388,0.1765703814916275,0.3975,0.3209213253681085,0.6025,0.3209213253681086,1.170846929114433,0.3312273058724687,0.0,0.1,0.9,1.1995572146304498,0.4993416322813499,0.50065836771865,0.0147953876471993,0.3041333333333333,0.9,-0.028710285516016842,0.00323182319808879,-3.5101523089099e-05,-0.061066666666666714,0.0,0.5720370006454606,0.584089394875583,-0.012052394230122387
0.55,0.4,0.3138655296089821,0.081021265676336,0.3172796628655925,0.0863727856500023,0.0172430187629839,0.0157796671304204,0.2635666666666666,0.2613275397675026,0.0771767147348555,0.0061903165337039,0.4811045908602664,0.1777296841946327,0.5188954091397335,0.1777296841946327,0.445,0.3197723971278826,0.5549999999999999,0.3197723971278826,1.1440978304971463,0.3538426964087581,0.0,0.1,0.9,1.1995572146304498,0.4993416322813499,0.50065836771865,0.0147953876471993,0.3041333333333333,0.9,-0.055459384133303535,0.01823704142108351,0.002447631115784601,-0.040566666666666695,0.0,0.5934085851878922,0.584089394875583,0.009319190312309211
0.55,0.5,0.3138655296089821,0.081021265676336,0.3185532833496741,0.0805473303505783,0.0203605387864598,0.0199674767227933,0.269,0.2521336784582049,0.1179658583456129,0.0092515828882567,0.4778840265903584,0.1732712141123491,0.5221159734096416,0.1732712141123491,0.4916666666666667,0.3300053162782834,0.5083333333333333,0.3300053162782834,1.1027894414395898,0.3954531056446,0.0,0.25,0.75,1.1995572146304498,0.4993416322813499,0.50065836771865,0.0147953876471993,0.3041333333333333,0.9,-0.09676777319086005,0.021457605690991532,0.0055651511392605015,-0.035133333333333294,-0.15000000000000002,0.5995462428028715,0.584089394875583,0.01545684792728852
0.55,0.6,0.3138655296089821,0.081021265676336,0.3241153634881152,0.0742558752318305,0.0168607611023063,0.0154692855775824,0.2242666666666666,0.2673080357282816,0.165399073278238,0.0126204827026791,0.5156670390274816,0.1651070597638784,0.4843329609725184,0.1651070597638784,0.4,0.2848001248439177,0.6,0.2848001248439176,1.1446148179147615,0.3023881059930248,0.05,0.15,0.8,1.1995572146304498,0.4993416322813499,0.50065836771865,0.0147953876471993,0.3041333333333333,0.9,-0.054942396715688346,-0.016325406746131643,0.0020653734551070013,-0.07986666666666672,-0.09999999999999998,0.5488300081903381,0.584089394875583,-0.035259386685244865
